iter=0 dmajflt=179 dt_us=18271
iter=1 dmajflt=198 dt_us=19780
iter=2 dmajflt=185 dt_us=19163
iter=3 dmajflt=196 dt_us=19620
iter=4 dmajflt=197 dt_us=19832
iter=5 dmajflt=186 dt_us=19578
iter=6 dmajflt=181 dt_us=18979
iter=7 dmajflt=194 dt_us=19689
iter=8 dmajflt=191 dt_us=18569
iter=9 dmajflt=192 dt_us=19157
iter=10 dmajflt=206 dt_us=20798
iter=11 dmajflt=188 dt_us=18738
iter=12 dmajflt=195 dt_us=20202
iter=13 dmajflt=189 dt_us=18722
iter=14 dmajflt=200 dt_us=20054
iter=15 dmajflt=224 dt_us=22060
iter=16 dmajflt=221 dt_us=20637
iter=17 dmajflt=208 dt_us=20589
iter=18 dmajflt=204 dt_us=20476
iter=19 dmajflt=221 dt_us=21238
iter=20 dmajflt=213 dt_us=20815
iter=21 dmajflt=218 dt_us=21689
iter=22 dmajflt=226 dt_us=21195
iter=23 dmajflt=231 dt_us=22203
iter=24 dmajflt=242 dt_us=23125
iter=25 dmajflt=231 dt_us=21980
iter=26 dmajflt=213 dt_us=21939
iter=27 dmajflt=211 dt_us=20031
iter=28 dmajflt=203 dt_us=20706
iter=29 dmajflt=211 dt_us=20466
iter=30 dmajflt=207 dt_us=20355
iter=31 dmajflt=204 dt_us=19851
iter=32 dmajflt=203 dt_us=20868
iter=33 dmajflt=210 dt_us=21213
iter=34 dmajflt=206 dt_us=19830
iter=35 dmajflt=218 dt_us=21290
iter=36 dmajflt=198 dt_us=20612
iter=37 dmajflt=202 dt_us=19659
iter=38 dmajflt=220 dt_us=20463
iter=39 dmajflt=230 dt_us=20485
iter=40 dmajflt=224 dt_us=21428
iter=41 dmajflt=211 dt_us=20773
iter=42 dmajflt=191 dt_us=19408
iter=43 dmajflt=195 dt_us=19924
iter=44 dmajflt=194 dt_us=19984
iter=45 dmajflt=196 dt_us=19660
iter=46 dmajflt=191 dt_us=19500
iter=47 dmajflt=187 dt_us=18805
iter=48 dmajflt=188 dt_us=20640
iter=49 dmajflt=193 dt_us=19305
iter=50 dmajflt=189 dt_us=19910
iter=51 dmajflt=195 dt_us=20076
iter=52 dmajflt=199 dt_us=20610
iter=53 dmajflt=208 dt_us=20202
iter=54 dmajflt=230 dt_us=22375
iter=55 dmajflt=215 dt_us=20512
iter=56 dmajflt=207 dt_us=20925
iter=57 dmajflt=199 dt_us=23311
iter=58 dmajflt=203 dt_us=20929
iter=59 dmajflt=202 dt_us=20140
iter=60 dmajflt=200 dt_us=19805
iter=61 dmajflt=211 dt_us=20359
iter=62 dmajflt=209 dt_us=21331
iter=63 dmajflt=206 dt_us=20225
iter=64 dmajflt=200 dt_us=20171
iter=65 dmajflt=188 dt_us=19989
iter=66 dmajflt=193 dt_us=19626
iter=67 dmajflt=209 dt_us=20298
iter=68 dmajflt=218 dt_us=21014
iter=69 dmajflt=230 dt_us=21050
iter=70 dmajflt=236 dt_us=22005
iter=71 dmajflt=206 dt_us=20135
iter=72 dmajflt=204 dt_us=21507
iter=73 dmajflt=202 dt_us=19935
iter=74 dmajflt=203 dt_us=20127
iter=75 dmajflt=209 dt_us=20830
iter=76 dmajflt=211 dt_us=20287
iter=77 dmajflt=203 dt_us=20759
iter=78 dmajflt=201 dt_us=20783
iter=79 dmajflt=212 dt_us=19791
iter=80 dmajflt=205 dt_us=20791
iter=81 dmajflt=204 dt_us=20184
iter=82 dmajflt=205 dt_us=20120
iter=83 dmajflt=215 dt_us=19431
iter=84 dmajflt=213 dt_us=20302
iter=85 dmajflt=204 dt_us=19380
iter=86 dmajflt=214 dt_us=20081
iter=87 dmajflt=199 dt_us=22086
iter=88 dmajflt=206 dt_us=20858
iter=89 dmajflt=209 dt_us=20323
iter=90 dmajflt=211 dt_us=19916
iter=91 dmajflt=209 dt_us=21598
iter=92 dmajflt=201 dt_us=20110
iter=93 dmajflt=210 dt_us=20252
iter=94 dmajflt=206 dt_us=20296
iter=95 dmajflt=194 dt_us=20094
iter=96 dmajflt=196 dt_us=19652
iter=97 dmajflt=192 dt_us=19636
iter=98 dmajflt=234 dt_us=21278
iter=99 dmajflt=223 dt_us=21031
iter=100 dmajflt=243 dt_us=21658
iter=101 dmajflt=218 dt_us=21367
iter=102 dmajflt=222 dt_us=21423
iter=103 dmajflt=244 dt_us=21932
iter=104 dmajflt=210 dt_us=20179
iter=105 dmajflt=214 dt_us=20825
