iter=0 dmajflt=182 dt_us=16959
iter=1 dmajflt=187 dt_us=17395
iter=2 dmajflt=186 dt_us=16851
iter=3 dmajflt=192 dt_us=17837
iter=4 dmajflt=209 dt_us=18980
iter=5 dmajflt=193 dt_us=17401
iter=6 dmajflt=189 dt_us=17710
iter=7 dmajflt=189 dt_us=17777
iter=8 dmajflt=191 dt_us=17327
iter=9 dmajflt=190 dt_us=17802
iter=10 dmajflt=184 dt_us=16937
iter=11 dmajflt=185 dt_us=17800
iter=12 dmajflt=190 dt_us=17326
iter=13 dmajflt=192 dt_us=17737
iter=14 dmajflt=189 dt_us=18162
iter=15 dmajflt=183 dt_us=16274
iter=16 dmajflt=187 dt_us=18492
iter=17 dmajflt=192 dt_us=16473
iter=18 dmajflt=189 dt_us=18221
iter=19 dmajflt=184 dt_us=17098
iter=20 dmajflt=185 dt_us=17485
iter=21 dmajflt=195 dt_us=17972
iter=22 dmajflt=201 dt_us=18272
iter=23 dmajflt=215 dt_us=18838
iter=24 dmajflt=208 dt_us=20333
iter=25 dmajflt=210 dt_us=18620
iter=26 dmajflt=204 dt_us=17837
iter=27 dmajflt=210 dt_us=18020
iter=28 dmajflt=219 dt_us=19362
iter=29 dmajflt=200 dt_us=17965
iter=30 dmajflt=210 dt_us=18240
iter=31 dmajflt=206 dt_us=18529
iter=32 dmajflt=222 dt_us=18782
iter=33 dmajflt=222 dt_us=18725
iter=34 dmajflt=208 dt_us=18570
iter=35 dmajflt=207 dt_us=18135
iter=36 dmajflt=209 dt_us=18765
iter=37 dmajflt=203 dt_us=18441
iter=38 dmajflt=214 dt_us=18494
iter=39 dmajflt=205 dt_us=18501
iter=40 dmajflt=217 dt_us=18278
iter=41 dmajflt=202 dt_us=18546
iter=42 dmajflt=209 dt_us=18186
iter=43 dmajflt=202 dt_us=19101
iter=44 dmajflt=213 dt_us=18229
iter=45 dmajflt=213 dt_us=18999
iter=46 dmajflt=210 dt_us=18650
iter=47 dmajflt=208 dt_us=17750
iter=48 dmajflt=206 dt_us=18178
iter=49 dmajflt=204 dt_us=19052
iter=50 dmajflt=208 dt_us=18256
iter=51 dmajflt=202 dt_us=18284
iter=52 dmajflt=206 dt_us=18322
iter=53 dmajflt=203 dt_us=18951
iter=54 dmajflt=209 dt_us=17859
iter=55 dmajflt=204 dt_us=18681
iter=56 dmajflt=194 dt_us=18645
iter=57 dmajflt=200 dt_us=20114
iter=58 dmajflt=209 dt_us=18467
iter=59 dmajflt=198 dt_us=18085
iter=60 dmajflt=200 dt_us=18160
iter=61 dmajflt=230 dt_us=19769
iter=62 dmajflt=228 dt_us=18924
iter=63 dmajflt=229 dt_us=18916
iter=64 dmajflt=234 dt_us=19259
iter=65 dmajflt=224 dt_us=19584
iter=66 dmajflt=234 dt_us=18429
iter=67 dmajflt=233 dt_us=19182
iter=68 dmajflt=205 dt_us=18722
iter=69 dmajflt=210 dt_us=18198
iter=70 dmajflt=205 dt_us=18646
iter=71 dmajflt=207 dt_us=18618
iter=72 dmajflt=215 dt_us=18471
iter=73 dmajflt=207 dt_us=17680
iter=74 dmajflt=210 dt_us=19605
iter=75 dmajflt=198 dt_us=17259
iter=76 dmajflt=208 dt_us=18146
iter=77 dmajflt=198 dt_us=18498
iter=78 dmajflt=216 dt_us=18842
iter=79 dmajflt=199 dt_us=18038
iter=80 dmajflt=213 dt_us=18387
iter=81 dmajflt=207 dt_us=18902
iter=82 dmajflt=207 dt_us=18032
iter=83 dmajflt=206 dt_us=19290
iter=84 dmajflt=210 dt_us=18097
iter=85 dmajflt=197 dt_us=18598
iter=86 dmajflt=210 dt_us=18492
iter=87 dmajflt=204 dt_us=18430
iter=88 dmajflt=190 dt_us=17679
iter=89 dmajflt=199 dt_us=20468
iter=90 dmajflt=198 dt_us=18135
iter=91 dmajflt=186 dt_us=17833
iter=92 dmajflt=192 dt_us=18406
iter=93 dmajflt=200 dt_us=17152
iter=94 dmajflt=235 dt_us=19941
iter=95 dmajflt=255 dt_us=19206
iter=96 dmajflt=230 dt_us=18701
iter=97 dmajflt=230 dt_us=18956
iter=98 dmajflt=234 dt_us=19192
iter=99 dmajflt=224 dt_us=20104
iter=100 dmajflt=214 dt_us=18321
iter=101 dmajflt=216 dt_us=18846
iter=102 dmajflt=207 dt_us=18550
iter=103 dmajflt=209 dt_us=18163
iter=104 dmajflt=212 dt_us=18723
iter=105 dmajflt=195 dt_us=17667
iter=106 dmajflt=212 dt_us=18941
iter=107 dmajflt=206 dt_us=18312
iter=108 dmajflt=202 dt_us=18579
iter=109 dmajflt=199 dt_us=18739
iter=110 dmajflt=205 dt_us=17990
iter=111 dmajflt=206 dt_us=18425
iter=112 dmajflt=195 dt_us=17483
iter=113 dmajflt=208 dt_us=19251
iter=114 dmajflt=213 dt_us=18133
iter=115 dmajflt=205 dt_us=18886
iter=116 dmajflt=211 dt_us=18710
iter=117 dmajflt=218 dt_us=18587
iter=118 dmajflt=211 dt_us=18533
iter=119 dmajflt=203 dt_us=18625
iter=120 dmajflt=203 dt_us=18613
iter=121 dmajflt=197 dt_us=17656
iter=122 dmajflt=197 dt_us=20343
iter=123 dmajflt=189 dt_us=18190
iter=124 dmajflt=195 dt_us=17585
iter=125 dmajflt=189 dt_us=17124
iter=126 dmajflt=189 dt_us=17482
iter=127 dmajflt=224 dt_us=19836
iter=128 dmajflt=225 dt_us=19279
iter=129 dmajflt=235 dt_us=19129
iter=130 dmajflt=250 dt_us=19629
iter=131 dmajflt=239 dt_us=19381
iter=132 dmajflt=232 dt_us=19582
iter=133 dmajflt=207 dt_us=17701
iter=134 dmajflt=209 dt_us=18567
iter=135 dmajflt=196 dt_us=17949
iter=136 dmajflt=199 dt_us=17628
iter=137 dmajflt=201 dt_us=18544
iter=138 dmajflt=212 dt_us=18559
iter=139 dmajflt=212 dt_us=18735
iter=140 dmajflt=204 dt_us=18686
iter=141 dmajflt=208 dt_us=18405
iter=142 dmajflt=220 dt_us=18625
iter=143 dmajflt=200 dt_us=17927
iter=144 dmajflt=203 dt_us=18039
iter=145 dmajflt=208 dt_us=18486
iter=146 dmajflt=211 dt_us=19029
iter=147 dmajflt=210 dt_us=18001
iter=148 dmajflt=205 dt_us=18783
iter=149 dmajflt=211 dt_us=19403
iter=150 dmajflt=211 dt_us=18771
iter=151 dmajflt=195 dt_us=17381
iter=152 dmajflt=205 dt_us=20871
iter=153 dmajflt=203 dt_us=18150
iter=154 dmajflt=196 dt_us=18067
iter=155 dmajflt=185 dt_us=17611
iter=156 dmajflt=190 dt_us=17859
iter=157 dmajflt=193 dt_us=17566
iter=158 dmajflt=197 dt_us=18021
iter=159 dmajflt=227 dt_us=18594
iter=160 dmajflt=247 dt_us=19521
iter=161 dmajflt=247 dt_us=19730
iter=162 dmajflt=230 dt_us=19005
iter=163 dmajflt=237 dt_us=18667
iter=164 dmajflt=240 dt_us=19234
iter=165 dmajflt=211 dt_us=19032
iter=166 dmajflt=210 dt_us=17210
iter=167 dmajflt=205 dt_us=18748
iter=168 dmajflt=205 dt_us=17820
iter=169 dmajflt=200 dt_us=18031
iter=170 dmajflt=199 dt_us=18029
iter=171 dmajflt=211 dt_us=18019
iter=172 dmajflt=204 dt_us=17941
iter=173 dmajflt=196 dt_us=17899
iter=174 dmajflt=204 dt_us=17896
iter=175 dmajflt=207 dt_us=18290
iter=176 dmajflt=200 dt_us=17855
iter=177 dmajflt=202 dt_us=18378
iter=178 dmajflt=209 dt_us=18068
iter=179 dmajflt=205 dt_us=18884
iter=180 dmajflt=196 dt_us=18091
iter=181 dmajflt=205 dt_us=18063
iter=182 dmajflt=204 dt_us=18495
iter=183 dmajflt=199 dt_us=18422
iter=184 dmajflt=202 dt_us=18170
iter=185 dmajflt=204 dt_us=19630
iter=186 dmajflt=188 dt_us=18084
iter=187 dmajflt=196 dt_us=17698
iter=188 dmajflt=196 dt_us=17593
iter=189 dmajflt=200 dt_us=18672
iter=190 dmajflt=186 dt_us=17014
iter=191 dmajflt=201 dt_us=18110
iter=192 dmajflt=206 dt_us=19044
iter=193 dmajflt=218 dt_us=18428
iter=194 dmajflt=230 dt_us=18800
iter=195 dmajflt=233 dt_us=18827
iter=196 dmajflt=227 dt_us=18313
iter=197 dmajflt=241 dt_us=19445
iter=198 dmajflt=226 dt_us=18711
iter=199 dmajflt=212 dt_us=18203
iter=200 dmajflt=216 dt_us=18842
iter=201 dmajflt=224 dt_us=19448
iter=202 dmajflt=212 dt_us=18771
iter=203 dmajflt=219 dt_us=18326
iter=204 dmajflt=215 dt_us=18805
iter=205 dmajflt=209 dt_us=18722
iter=206 dmajflt=211 dt_us=19108
iter=207 dmajflt=215 dt_us=18521
iter=208 dmajflt=215 dt_us=19292
iter=209 dmajflt=217 dt_us=18534
iter=210 dmajflt=212 dt_us=19202
iter=211 dmajflt=214 dt_us=18167
iter=212 dmajflt=217 dt_us=19011
iter=213 dmajflt=213 dt_us=19755
iter=214 dmajflt=216 dt_us=18416
iter=215 dmajflt=210 dt_us=18788
iter=216 dmajflt=211 dt_us=19491
iter=217 dmajflt=216 dt_us=19724
iter=218 dmajflt=210 dt_us=19081
iter=219 dmajflt=214 dt_us=19811
iter=220 dmajflt=219 dt_us=18192
iter=221 dmajflt=203 dt_us=18283
iter=222 dmajflt=226 dt_us=18913
iter=223 dmajflt=209 dt_us=18658
iter=224 dmajflt=228 dt_us=19158
iter=225 dmajflt=239 dt_us=18593
iter=226 dmajflt=238 dt_us=19626
iter=227 dmajflt=255 dt_us=19021
iter=228 dmajflt=242 dt_us=19835
iter=229 dmajflt=235 dt_us=18756
iter=230 dmajflt=240 dt_us=19491
iter=231 dmajflt=234 dt_us=19164
iter=232 dmajflt=228 dt_us=18983
