iter=0 dmajflt=180 dt_us=677968
iter=1 dmajflt=192 dt_us=822809
iter=2 dmajflt=188 dt_us=637594
iter=3 dmajflt=186 dt_us=640488
iter=4 dmajflt=191 dt_us=857193
iter=5 dmajflt=187 dt_us=694697
iter=6 dmajflt=200 dt_us=998606
iter=7 dmajflt=204 dt_us=1142358
iter=8 dmajflt=199 dt_us=1043956
iter=9 dmajflt=221 dt_us=1046930
iter=10 dmajflt=214 dt_us=997200
iter=11 dmajflt=220 dt_us=926830
iter=12 dmajflt=208 dt_us=807121
iter=13 dmajflt=206 dt_us=873745
iter=14 dmajflt=214 dt_us=791901
iter=15 dmajflt=208 dt_us=713583
iter=16 dmajflt=209 dt_us=871439
iter=17 dmajflt=206 dt_us=896877
iter=18 dmajflt=212 dt_us=951228
iter=19 dmajflt=211 dt_us=971577
iter=20 dmajflt=205 dt_us=1121168
iter=21 dmajflt=207 dt_us=666706
iter=22 dmajflt=204 dt_us=947251
iter=23 dmajflt=214 dt_us=863058
iter=24 dmajflt=210 dt_us=851486
iter=25 dmajflt=202 dt_us=769695
iter=26 dmajflt=202 dt_us=751865
iter=27 dmajflt=201 dt_us=658545
iter=28 dmajflt=208 dt_us=682480
iter=29 dmajflt=206 dt_us=701378
iter=30 dmajflt=205 dt_us=872607
iter=31 dmajflt=203 dt_us=984645
iter=32 dmajflt=209 dt_us=1715665
iter=33 dmajflt=199 dt_us=1288813
iter=34 dmajflt=203 dt_us=824030
iter=35 dmajflt=207 dt_us=898201
iter=36 dmajflt=211 dt_us=943767
iter=37 dmajflt=216 dt_us=808259
iter=38 dmajflt=211 dt_us=912728
iter=39 dmajflt=213 dt_us=1091763
iter=40 dmajflt=215 dt_us=937064
iter=41 dmajflt=216 dt_us=953661
iter=42 dmajflt=215 dt_us=1018104
iter=43 dmajflt=202 dt_us=852228
iter=44 dmajflt=202 dt_us=1107868
iter=45 dmajflt=209 dt_us=7425025
iter=46 dmajflt=210 dt_us=215531
iter=47 dmajflt=220 dt_us=201615
iter=48 dmajflt=235 dt_us=255712
iter=49 dmajflt=239 dt_us=356485
iter=50 dmajflt=228 dt_us=263611
iter=51 dmajflt=203 dt_us=169432
iter=52 dmajflt=208 dt_us=197426
iter=53 dmajflt=218 dt_us=212875
iter=54 dmajflt=208 dt_us=198647
iter=55 dmajflt=218 dt_us=289678
