Subsystem,File Path,Line Number,Type,Name,Value,Description
block,/home/spike/linux-6.14.7/block/blk-ioprio.c,116,macro,IOPRIO_ATTRS,"{							 		.name		= ""prio.class"",			 		.seq_show	= ioprio_show_prio_policy,	 		.write		= ioprio_set_prio_policy,	 	},							 { } /* sentinel */",
block,/home/spike/linux-6.14.7/block/bounce.c,7,macro,pr_fmt(fmt),"KBUILD_MODNAME "": "" fmt",
block,/home/spike/linux-6.14.7/block/bounce.c,28,macro,POOL_SIZE,64,
block,/home/spike/linux-6.14.7/block/bounce.c,29,macro,ISA_POOL_SIZE,16,
block,/home/spike/linux-6.14.7/block/blk-stat.h,3,macro,BLK_STAT_H,,
block,/home/spike/linux-6.14.7/block/genhd.c,56,macro,NR_EXT_DEVT,(1 << MINORBITS),
block,/home/spike/linux-6.14.7/block/genhd.c,164,macro,BLKDEV_MAJOR_HASH_SIZE,255,
block,/home/spike/linux-6.14.7/block/blk-mq.h,3,macro,INT_BLK_MQ_H,,
block,/home/spike/linux-6.14.7/block/blk-mq.h,39,macro,BLK_MQ_CPU_WORK_BATCH,(8),
block,/home/spike/linux-6.14.7/block/blk-mq.h,42,macro,BLK_MQ_INSERT_AT_HEAD,((__force blk_insert_t)0x01),
block,/home/spike/linux-6.14.7/block/blk-mq.h,431,macro,"__blk_mq_run_dispatch_ops(q, check_sleep, dispatch_ops)	 do {								 	if ((q)->tag_set->flags & BLK_MQ_F_BLOCKING) {		 		struct blk_mq_tag_set *__tag_set = (q)->tag_set;  		int srcu_idx;					 								 		might_sleep_if(check_sleep);			 		srcu_idx = srcu_read_lock(__tag_set->srcu);	 		(dispatch_ops);					 		srcu_read_unlock(__tag_set->srcu, srcu_idx);	 	} else {						 		rcu_read_lock();				 		(dispatch_ops);					 		rcu_read_unlock();				 	}							 } while (0)",,
block,/home/spike/linux-6.14.7/block/blk-mq.h,448,macro,"blk_mq_run_dispatch_ops(q, dispatch_ops)		 	__blk_mq_run_dispatch_ops(q, true, dispatch_ops)",,
block,/home/spike/linux-6.14.7/block/blk-core.c,44,macro,CREATE_TRACE_POINTS,,
block,/home/spike/linux-6.14.7/block/blk-core.c,97,macro,REQ_OP_NAME(name),[REQ_OP_##name] = #name,
block,/home/spike/linux-6.14.7/block/opal_proto.h,12,macro,_OPAL_PROTO_H,,
block,/home/spike/linux-6.14.7/block/opal_proto.h,37,macro,DTAERROR_NO_METHOD_STATUS,0x89,
block,/home/spike/linux-6.14.7/block/opal_proto.h,38,macro,GENERIC_HOST_SESSION_NUM,0x41,
block,/home/spike/linux-6.14.7/block/opal_proto.h,39,macro,FIRST_TPER_SESSION_NUM,4096,
block,/home/spike/linux-6.14.7/block/opal_proto.h,41,macro,TPER_SYNC_SUPPORTED,0x01,
block,/home/spike/linux-6.14.7/block/opal_proto.h,43,macro,LOCKING_SUPPORTED_MASK,0x01,
block,/home/spike/linux-6.14.7/block/opal_proto.h,44,macro,LOCKING_ENABLED_MASK,0x02,
block,/home/spike/linux-6.14.7/block/opal_proto.h,45,macro,LOCKED_MASK,0x04,
block,/home/spike/linux-6.14.7/block/opal_proto.h,46,macro,MBR_ENABLED_MASK,0x10,
block,/home/spike/linux-6.14.7/block/opal_proto.h,47,macro,MBR_DONE_MASK,0x20,
block,/home/spike/linux-6.14.7/block/opal_proto.h,49,macro,TINY_ATOM_DATA_MASK,0x3F,
block,/home/spike/linux-6.14.7/block/opal_proto.h,50,macro,TINY_ATOM_SIGNED,0x40,
block,/home/spike/linux-6.14.7/block/opal_proto.h,52,macro,SHORT_ATOM_ID,0x80,
block,/home/spike/linux-6.14.7/block/opal_proto.h,53,macro,SHORT_ATOM_BYTESTRING,0x20,
block,/home/spike/linux-6.14.7/block/opal_proto.h,54,macro,SHORT_ATOM_SIGNED,0x10,
block,/home/spike/linux-6.14.7/block/opal_proto.h,55,macro,SHORT_ATOM_LEN_MASK,0xF,
block,/home/spike/linux-6.14.7/block/opal_proto.h,57,macro,MEDIUM_ATOM_ID,0xC0,
block,/home/spike/linux-6.14.7/block/opal_proto.h,58,macro,MEDIUM_ATOM_BYTESTRING,0x10,
block,/home/spike/linux-6.14.7/block/opal_proto.h,59,macro,MEDIUM_ATOM_SIGNED,0x8,
block,/home/spike/linux-6.14.7/block/opal_proto.h,60,macro,MEDIUM_ATOM_LEN_MASK,0x7,
block,/home/spike/linux-6.14.7/block/opal_proto.h,62,macro,LONG_ATOM_ID,0xe0,
block,/home/spike/linux-6.14.7/block/opal_proto.h,63,macro,LONG_ATOM_BYTESTRING,0x2,
block,/home/spike/linux-6.14.7/block/opal_proto.h,64,macro,LONG_ATOM_SIGNED,0x1,
block,/home/spike/linux-6.14.7/block/opal_proto.h,70,macro,TINY_ATOM_BYTE,0x7F,
block,/home/spike/linux-6.14.7/block/opal_proto.h,71,macro,SHORT_ATOM_BYTE,0xBF,
block,/home/spike/linux-6.14.7/block/opal_proto.h,72,macro,MEDIUM_ATOM_BYTE,0xDF,
block,/home/spike/linux-6.14.7/block/opal_proto.h,73,macro,LONG_ATOM_BYTE,0xE3,
block,/home/spike/linux-6.14.7/block/opal_proto.h,74,macro,EMPTY_ATOM_BYTE,0xFF,
block,/home/spike/linux-6.14.7/block/opal_proto.h,76,macro,OPAL_INVAL_PARAM,12,
block,/home/spike/linux-6.14.7/block/opal_proto.h,77,macro,OPAL_MANUFACTURED_INACTIVE,0x08,
block,/home/spike/linux-6.14.7/block/opal_proto.h,78,macro,OPAL_DISCOVERY_COMID,0x0001,
block,/home/spike/linux-6.14.7/block/opal_proto.h,80,macro,LOCKING_RANGE_NON_GLOBAL,0x03,
block,/home/spike/linux-6.14.7/block/opal_proto.h,86,macro,OPAL_METHOD_LENGTH,8,
block,/home/spike/linux-6.14.7/block/opal_proto.h,87,macro,OPAL_MSID_KEYLEN,15,
block,/home/spike/linux-6.14.7/block/opal_proto.h,88,macro,OPAL_UID_LENGTH_HALF,4,
block,/home/spike/linux-6.14.7/block/opal_proto.h,95,macro,OPAL_BOOLEAN_AND,0,
block,/home/spike/linux-6.14.7/block/opal_proto.h,96,macro,OPAL_BOOLEAN_OR,1,
block,/home/spike/linux-6.14.7/block/opal_proto.h,97,macro,OPAL_BOOLEAN_NOT,2,
block,/home/spike/linux-6.14.7/block/opal_proto.h,272,macro,FC_TPER,0x0001,
block,/home/spike/linux-6.14.7/block/opal_proto.h,273,macro,FC_LOCKING,0x0002,
block,/home/spike/linux-6.14.7/block/opal_proto.h,274,macro,FC_GEOMETRY,0x0003,
block,/home/spike/linux-6.14.7/block/opal_proto.h,275,macro,FC_ENTERPRISE,0x0100,
block,/home/spike/linux-6.14.7/block/opal_proto.h,276,macro,FC_DATASTORE,0x0202,
block,/home/spike/linux-6.14.7/block/opal_proto.h,277,macro,FC_SINGLEUSER,0x0201,
block,/home/spike/linux-6.14.7/block/opal_proto.h,278,macro,FC_OPALV100,0x0200,
block,/home/spike/linux-6.14.7/block/opal_proto.h,279,macro,FC_OPALV200,0x0203,
block,/home/spike/linux-6.14.7/block/bsg.c,20,macro,BSG_DESCRIPTION,"""Block layer SCSI generic (bsg) driver""",
block,/home/spike/linux-6.14.7/block/bsg.c,21,macro,BSG_VERSION,"""0.4""",
block,/home/spike/linux-6.14.7/block/bsg.c,38,macro,BSG_DEFAULT_CMDS,64,
block,/home/spike/linux-6.14.7/block/bsg.c,39,macro,BSG_MAX_DEVS,(1 << MINORBITS),
block,/home/spike/linux-6.14.7/block/blk-crypto.c,10,macro,pr_fmt(fmt),"""blk-crypto: "" fmt",
