Subsystem,File Path,Line Number,Type,Name,Value,Description
fs,/home/spike/linux-6.14.7/fs/inode.c,230,static_const,no_open_fops,{.open = no_open},
fs,/home/spike/linux-6.14.7/fs/open.c,897,static_const,empty_fops,{},
fs,/home/spike/linux-6.14.7/fs/coredump.c,996,static_const,core_file_note_size_min,CORE_FILE_NOTE_SIZE_DEFAULT,
fs,/home/spike/linux-6.14.7/fs/coredump.c,997,static_const,core_file_note_size_max,CORE_FILE_NOTE_SIZE_MAX,
fs,/home/spike/linux-6.14.7/fs/fuse/control.c,308,static_const,empty_descr,"{""""}",
fs,/home/spike/linux-6.14.7/fs/ceph/mds_client.c,1464,static_const,count,ARRAY_SIZE(feature_bits),
fs,/home/spike/linux-6.14.7/fs/ceph/mds_client.c,1495,static_const,count,ARRAY_SIZE(metric_bits),
fs,/home/spike/linux-6.14.7/fs/adfs/inode.c,166,static_const,nsec_unix_epoch_diff_risc_os_epoch,2208988800000000000LL,
fs,/home/spike/linux-6.14.7/fs/nfs/nfs4sysctl.c,17,static_const,nfs_set_port_max,65535,
fs,/home/spike/linux-6.14.7/fs/befs/btree.c,88,static_const,BEFS_BT_INVAL,0xffffffffffffffffULL,
fs,/home/spike/linux-6.14.7/fs/lockd/svc.c,76,static_const,nlm_grace_period_min,0,
fs,/home/spike/linux-6.14.7/fs/lockd/svc.c,77,static_const,nlm_grace_period_max,240,
fs,/home/spike/linux-6.14.7/fs/lockd/svc.c,78,static_const,nlm_timeout_min,3,
fs,/home/spike/linux-6.14.7/fs/lockd/svc.c,79,static_const,nlm_timeout_max,20,
fs,/home/spike/linux-6.14.7/fs/lockd/svc.c,82,static_const,nlm_port_min,"0, nlm_port_max = 65535",
