Subsystem,File Path,Line Number,Type,Name,Value,Description
io_uring,/home/spike/linux-6.14.7/io_uring/io-wq.c,26,macro,WORKER_IDLE_TIMEOUT,(5 * HZ),
io_uring,/home/spike/linux-6.14.7/io_uring/io-wq.c,27,macro,WORKER_INIT_LIMIT,3,
io_uring,/home/spike/linux-6.14.7/io_uring/io-wq.c,72,macro,IO_WQ_HASH_ORDER,6,
io_uring,/home/spike/linux-6.14.7/io_uring/io-wq.c,74,macro,IO_WQ_HASH_ORDER,5,
io_uring,/home/spike/linux-6.14.7/io_uring/io-wq.c,77,macro,IO_WQ_NR_HASH_BUCKETS,(1u << IO_WQ_HASH_ORDER),
io_uring,/home/spike/linux-6.14.7/io_uring/notif.h,10,macro,IO_NOTIF_UBUF_FLAGS,(SKBFL_ZEROCOPY_FRAG | SKBFL_DONT_ORPHAN),
io_uring,/home/spike/linux-6.14.7/io_uring/notif.h,11,macro,IO_NOTIF_SPLICE_BATCH,32,
io_uring,/home/spike/linux-6.14.7/io_uring/opdef.h,3,macro,IOU_OP_DEF_H,,
io_uring,/home/spike/linux-6.14.7/io_uring/slist.h,2,macro,INTERNAL_IO_SLIST_H,,
io_uring,/home/spike/linux-6.14.7/io_uring/slist.h,6,macro,"__wq_list_for_each(pos, head)				 for (pos = (head)->first; pos; pos = (pos)->next)",,
io_uring,/home/spike/linux-6.14.7/io_uring/slist.h,9,macro,"wq_list_for_each(pos, prv, head)			 for (pos = (head)->first, prv = NULL; pos; prv = pos, pos = (pos)->next)",,
io_uring,/home/spike/linux-6.14.7/io_uring/slist.h,12,macro,"wq_list_for_each_resume(pos, prv)			 for (; pos; prv = pos, pos = (pos)->next)",,
io_uring,/home/spike/linux-6.14.7/io_uring/slist.h,15,macro,wq_list_empty(list)	(READ_ONCE((list)->first) == NULL),,
io_uring,/home/spike/linux-6.14.7/io_uring/slist.h,17,macro,INIT_WQ_LIST(list)	do {				 	(list)->first = NULL;					 } while (0),,
io_uring,/home/spike/linux-6.14.7/io_uring/rsrc.c,32,macro,IORING_MAX_FIXED_FILES,(1U << 20),
io_uring,/home/spike/linux-6.14.7/io_uring/rsrc.c,33,macro,IORING_MAX_REG_BUFFERS,(1U << 14),
io_uring,/home/spike/linux-6.14.7/io_uring/alloc_cache.h,2,macro,IOU_ALLOC_CACHE_H,,
io_uring,/home/spike/linux-6.14.7/io_uring/alloc_cache.h,9,macro,IO_ALLOC_CACHE_MAX,128,
io_uring,/home/spike/linux-6.14.7/io_uring/cancel.h,3,macro,IORING_CANCEL_H,,
io_uring,/home/spike/linux-6.14.7/io_uring/kbuf.c,21,macro,MAX_BIDS_PER_BGID,(1 << 16),
