Subsystem,File Path,Line Number,Type,Name,Value,Description
ipc,/home/spike/linux-6.14.7/ipc/util.h,12,macro,_IPC_UTIL_H,,
ipc,/home/spike/linux-6.14.7/ipc/util.h,29,macro,IPCMNI_SHIFT,15,
ipc,/home/spike/linux-6.14.7/ipc/util.h,30,macro,IPCMNI_EXTEND_SHIFT,24,
ipc,/home/spike/linux-6.14.7/ipc/util.h,31,macro,IPCMNI_EXTEND_MIN_CYCLE,(RADIX_TREE_MAP_SIZE * RADIX_TREE_MAP_SIZE),
ipc,/home/spike/linux-6.14.7/ipc/util.h,32,macro,IPCMNI,(1 << IPCMNI_SHIFT),
ipc,/home/spike/linux-6.14.7/ipc/util.h,33,macro,IPCMNI_EXTEND,(1 << IPCMNI_EXTEND_SHIFT),
ipc,/home/spike/linux-6.14.7/ipc/util.h,40,macro,ipcmni_seq_shift(),ipc_mni_shift,
ipc,/home/spike/linux-6.14.7/ipc/util.h,41,macro,IPCMNI_IDX_MASK,((1 << ipc_mni_shift) - 1),
ipc,/home/spike/linux-6.14.7/ipc/util.h,45,macro,ipc_mni,IPCMNI,
ipc,/home/spike/linux-6.14.7/ipc/util.h,46,macro,ipc_min_cycle,((int)RADIX_TREE_MAP_SIZE),
ipc,/home/spike/linux-6.14.7/ipc/util.h,47,macro,ipcmni_seq_shift(),IPCMNI_SHIFT,
ipc,/home/spike/linux-6.14.7/ipc/util.h,48,macro,IPCMNI_IDX_MASK,((1 << IPCMNI_SHIFT) - 1),
ipc,/home/spike/linux-6.14.7/ipc/util.h,120,macro,"ipc_init_proc_interface(path, header, ids, show) do {} while (0)",,
ipc,/home/spike/linux-6.14.7/ipc/util.h,123,macro,IPC_SEM_IDS,0,
ipc,/home/spike/linux-6.14.7/ipc/util.h,124,macro,IPC_MSG_IDS,1,
ipc,/home/spike/linux-6.14.7/ipc/util.h,125,macro,IPC_SHM_IDS,2,
ipc,/home/spike/linux-6.14.7/ipc/util.h,127,macro,ipcid_to_idx(id)  ((id) & IPCMNI_IDX_MASK),,
ipc,/home/spike/linux-6.14.7/ipc/util.h,128,macro,ipcid_to_seqx(id) ((id) >> ipcmni_seq_shift()),,
ipc,/home/spike/linux-6.14.7/ipc/util.h,129,macro,ipcid_seq_max()	  (INT_MAX >> ipcmni_seq_shift()),,
ipc,/home/spike/linux-6.14.7/ipc/msgutil.c,42,macro,DATALEN_MSG,((size_t)PAGE_SIZE-sizeof(struct msg_msg)),
ipc,/home/spike/linux-6.14.7/ipc/msgutil.c,43,macro,DATALEN_SEG,((size_t)PAGE_SIZE-sizeof(struct msg_msgseg)),
ipc,/home/spike/linux-6.14.7/ipc/mqueue.c,51,macro,MQUEUE_MAGIC,0x19800202,
ipc,/home/spike/linux-6.14.7/ipc/mqueue.c,52,macro,DIRENT_SIZE,20,
ipc,/home/spike/linux-6.14.7/ipc/mqueue.c,53,macro,FILENT_SIZE,80,
ipc,/home/spike/linux-6.14.7/ipc/mqueue.c,55,macro,SEND,0,
ipc,/home/spike/linux-6.14.7/ipc/mqueue.c,56,macro,RECV,1,
ipc,/home/spike/linux-6.14.7/ipc/mqueue.c,58,macro,STATE_NONE,0,
ipc,/home/spike/linux-6.14.7/ipc/mqueue.c,59,macro,STATE_READY,1,
ipc,/home/spike/linux-6.14.7/ipc/msg.c,94,macro,SEARCH_ANY,1,
ipc,/home/spike/linux-6.14.7/ipc/msg.c,95,macro,SEARCH_EQUAL,2,
ipc,/home/spike/linux-6.14.7/ipc/msg.c,96,macro,SEARCH_NOTEQUAL,3,
ipc,/home/spike/linux-6.14.7/ipc/msg.c,97,macro,SEARCH_LESSEQUAL,4,
ipc,/home/spike/linux-6.14.7/ipc/msg.c,98,macro,SEARCH_NUMBER,5,
ipc,/home/spike/linux-6.14.7/ipc/msg.c,100,macro,msg_ids(ns)	((ns)->ids[IPC_MSG_IDS]),,
ipc,/home/spike/linux-6.14.7/ipc/shm.c,81,macro,SHM_DEST,01000	/* segment will be destroyed on last detach */,
ipc,/home/spike/linux-6.14.7/ipc/shm.c,82,macro,SHM_LOCKED,02000   /* segment will not be swapped */,
ipc,/home/spike/linux-6.14.7/ipc/shm.c,91,macro,shm_file_data(file) (*((struct shm_file_data **)&(file)->private_data)),,
ipc,/home/spike/linux-6.14.7/ipc/shm.c,96,macro,shm_ids(ns)	((ns)->ids[IPC_SHM_IDS]),,
ipc,/home/spike/linux-6.14.7/ipc/shm.c,98,macro,shm_unlock(shp)			 ipc_unlock(&(shp)->shm_perm),,
ipc,/home/spike/linux-6.14.7/ipc/shm.c,1703,macro,COMPAT_SHMLBA,SHMLBA,
ipc,/home/spike/linux-6.14.7/ipc/shm.c,1847,macro,SIZE_SPEC,"""%10lu""",
ipc,/home/spike/linux-6.14.7/ipc/shm.c,1849,macro,SIZE_SPEC,"""%21lu""",
