Subsystem,File Path,Line Number,Type,Name,Value,Description
kernel,/home/spike/linux-6.14.7/kernel/sys_ni.c,26,macro,COND_SYSCALL(name) cond_syscall(sys_##name),,
kernel,/home/spike/linux-6.14.7/kernel/sys_ni.c,30,macro,COND_SYSCALL_COMPAT(name) cond_syscall(compat_sys_##name),,
kernel,/home/spike/linux-6.14.7/kernel/kallsyms_selftest.h,3,macro,LINUX_KALLSYMS_SELFTEST_H_,,
kernel,/home/spike/linux-6.14.7/kernel/signal.c,52,macro,CREATE_TRACE_POINTS,,
kernel,/home/spike/linux-6.14.7/kernel/signal.c,157,macro,"PENDING(p,b) has_pending_signals(&(p)->signal, (b))",,
kernel,/home/spike/linux-6.14.7/kernel/signal.c,198,macro,SYNCHRONOUS_MASK,(sigmask(SIGSEGV) | sigmask(SIGBUS) | sigmask(SIGILL) |  sigmask(SIGTRAP) | sigmask(SIGFPE) | sigmask(SIGSYS)),
kernel,/home/spike/linux-6.14.7/kernel/signal.c,1624,macro,__si_special(priv)  ((priv) ? SEND_SIG_PRIV : SEND_SIG_NOINFO),,
kernel,/home/spike/linux-6.14.7/kernel/signal.c,4008,macro,PIDFD_SEND_SIGNAL_FLAGS,(PIDFD_SIGNAL_THREAD | PIDFD_SIGNAL_THREAD_GROUP |  PIDFD_SIGNAL_PROCESS_GROUP),
kernel,/home/spike/linux-6.14.7/kernel/signal.c,4884,macro,"CHECK_OFFSET(field)  BUILD_BUG_ON(offsetof(siginfo_t, field) != offsetof(kernel_siginfo_t, field))",,
kernel,/home/spike/linux-6.14.7/kernel/auditfilter.c,9,macro,pr_fmt(fmt),"KBUILD_MODNAME "": "" fmt",
kernel,/home/spike/linux-6.14.7/kernel/kallsyms_internal.h,3,macro,LINUX_KALLSYMS_INTERNAL_H_,,
kernel,/home/spike/linux-6.14.7/kernel/capability.c,11,macro,pr_fmt(fmt),"KBUILD_MODNAME "": "" fmt",
kernel,/home/spike/linux-6.14.7/kernel/audit.c,32,macro,pr_fmt(fmt),"KBUILD_MODNAME "": "" fmt",
kernel,/home/spike/linux-6.14.7/kernel/audit.c,65,macro,AUDIT_DISABLED,-1,
kernel,/home/spike/linux-6.14.7/kernel/audit.c,66,macro,AUDIT_UNINITIALIZED,0,
kernel,/home/spike/linux-6.14.7/kernel/audit.c,67,macro,AUDIT_INITIALIZED,1,
kernel,/home/spike/linux-6.14.7/kernel/audit.c,120,macro,AUDIT_BACKLOG_WAIT_TIME,(60 * HZ),
kernel,/home/spike/linux-6.14.7/kernel/audit.c,190,macro,AUDIT_BUFSIZ,1024,
kernel,/home/spike/linux-6.14.7/kernel/audit.c,849,macro,UNICAST_RETRIES,5,
kernel,/home/spike/linux-6.14.7/kernel/pid_sysctl.h,3,macro,LINUX_PID_SYSCTL_H,,
kernel,/home/spike/linux-6.14.7/kernel/uid16.h,3,macro,LINUX_UID16_H,,
kernel,/home/spike/linux-6.14.7/kernel/audit.h,10,macro,_KERNEL_AUDIT_H_,,
kernel,/home/spike/linux-6.14.7/kernel/audit.h,23,macro,AUDIT_NAMES,5,
kernel,/home/spike/linux-6.14.7/kernel/audit.h,220,macro,AUDIT_INODE_BUCKETS,32,
kernel,/home/spike/linux-6.14.7/kernel/audit.h,229,macro,AUDIT_NAME_FULL,-1,
kernel,/home/spike/linux-6.14.7/kernel/audit.h,307,macro,"auditsc_get_stamp(c, t, s)",0,
kernel,/home/spike/linux-6.14.7/kernel/audit.h,308,macro,audit_put_watch(w) do { } while (0),,
kernel,/home/spike/linux-6.14.7/kernel/audit.h,309,macro,audit_get_watch(w) do { } while (0),,
kernel,/home/spike/linux-6.14.7/kernel/audit.h,310,macro,"audit_to_watch(k, p, l, o) (-EINVAL)",,
kernel,/home/spike/linux-6.14.7/kernel/audit.h,311,macro,"audit_add_watch(k, l) (-EINVAL)",,
kernel,/home/spike/linux-6.14.7/kernel/audit.h,312,macro,audit_remove_watch_rule(k) BUG(),,
kernel,/home/spike/linux-6.14.7/kernel/audit.h,313,macro,audit_watch_path(w),"""""",
kernel,/home/spike/linux-6.14.7/kernel/audit.h,314,macro,"audit_watch_compare(w, i, d)",0,
kernel,/home/spike/linux-6.14.7/kernel/audit.h,316,macro,"audit_alloc_mark(k, p, l) (ERR_PTR(-EINVAL))",,
kernel,/home/spike/linux-6.14.7/kernel/audit.h,317,macro,audit_mark_path(m),"""""",
kernel,/home/spike/linux-6.14.7/kernel/audit.h,318,macro,audit_remove_mark(m) do { } while (0),,
kernel,/home/spike/linux-6.14.7/kernel/audit.h,319,macro,audit_remove_mark_rule(k) do { } while (0),,
kernel,/home/spike/linux-6.14.7/kernel/audit.h,320,macro,"audit_mark_compare(m, i, d)",0,
kernel,/home/spike/linux-6.14.7/kernel/audit.h,321,macro,"audit_exe_compare(t, m) (-EINVAL)",,
kernel,/home/spike/linux-6.14.7/kernel/audit.h,322,macro,"audit_dupe_exe(n, o) (-EINVAL)",,
kernel,/home/spike/linux-6.14.7/kernel/audit.h,324,macro,audit_remove_tree_rule(rule) BUG(),,
kernel,/home/spike/linux-6.14.7/kernel/audit.h,325,macro,audit_add_tree_rule(rule),-EINVAL,
kernel,/home/spike/linux-6.14.7/kernel/audit.h,326,macro,"audit_make_tree(rule, str, op)",-EINVAL,
kernel,/home/spike/linux-6.14.7/kernel/audit.h,327,macro,audit_trim_trees() do { } while (0),,
kernel,/home/spike/linux-6.14.7/kernel/audit.h,328,macro,audit_put_tree(tree) do { } while (0),,
kernel,/home/spike/linux-6.14.7/kernel/audit.h,329,macro,"audit_tag_tree(old, new)",-EINVAL,
kernel,/home/spike/linux-6.14.7/kernel/audit.h,330,macro,audit_tree_path(rule),"""""	/* never called */",
kernel,/home/spike/linux-6.14.7/kernel/audit.h,331,macro,audit_kill_trees(context) BUG(),,
kernel,/home/spike/linux-6.14.7/kernel/audit.h,338,macro,"audit_filter_inodes(t, c) do { } while (0)",,
kernel,/home/spike/linux-6.14.7/kernel/kallsyms_selftest.c,10,macro,pr_fmt(fmt),"""kallsyms_selftest: "" fmt",
kernel,/home/spike/linux-6.14.7/kernel/kallsyms_selftest.c,24,macro,MAX_NUM_OF_RECORDS,64,
kernel,/home/spike/linux-6.14.7/kernel/kallsyms_selftest.c,43,macro,ITEM_FUNC(s),"{					 		.name = #s,			 		.addr = (unsigned long)s,	 }",
kernel,/home/spike/linux-6.14.7/kernel/kallsyms_selftest.c,49,macro,ITEM_DATA(s),"{					 		.name = #s,			 		.addr = (unsigned long)&s,	 }",
kernel,/home/spike/linux-6.14.7/kernel/resource.c,11,macro,pr_fmt(fmt),"KBUILD_MODNAME "": "" fmt",
kernel,/home/spike/linux-6.14.7/kernel/resource.c,79,macro,"for_each_resource(_root, _p, _skip_children)  	for (typeof(_root) __root = (_root), __p = _p = __root->child;	 __p && _p; _p = next_resource(_p, _skip_children, __root))",,
kernel,/home/spike/linux-6.14.7/kernel/resource.c,1694,macro,MAXRESERVE,4,
kernel,/home/spike/linux-6.14.7/kernel/resource.c,1869,macro,GFR_DESCENDING,(1UL << 0),
kernel,/home/spike/linux-6.14.7/kernel/resource.c,1870,macro,GFR_REQUEST_REGION,(1UL << 1),
kernel,/home/spike/linux-6.14.7/kernel/resource.c,1872,macro,GFR_DEFAULT_ALIGN,(1UL << PA_SECTION_SHIFT),
kernel,/home/spike/linux-6.14.7/kernel/resource.c,1874,macro,GFR_DEFAULT_ALIGN,PAGE_SIZE,
kernel,/home/spike/linux-6.14.7/kernel/cred.c,8,macro,pr_fmt(fmt),"""CRED: "" fmt",
kernel,/home/spike/linux-6.14.7/kernel/cred.c,24,macro,"kdebug(FMT, ...)						 	printk(""[%-5.5s%5u] "" FMT ""\n"",					 current->comm, current->pid, ##__VA_ARGS__)",,
kernel,/home/spike/linux-6.14.7/kernel/cred.c,28,macro,"kdebug(FMT, ...)						 do {									 	if (0)								 		no_printk(""[%-5.5s%5u] "" FMT ""\n"",			 			  current->comm, current->pid, ##__VA_ARGS__);	 } while (0)",,
kernel,/home/spike/linux-6.14.7/kernel/profile.c,38,macro,PROFILE_GRPSHIFT,3,
kernel,/home/spike/linux-6.14.7/kernel/profile.c,39,macro,PROFILE_GRPSZ,(1 << PROFILE_GRPSHIFT),
kernel,/home/spike/linux-6.14.7/kernel/profile.c,40,macro,NR_PROFILE_HIT,(PAGE_SIZE/sizeof(struct profile_hit)),
kernel,/home/spike/linux-6.14.7/kernel/profile.c,41,macro,NR_PROFILE_GRP,(NR_PROFILE_HIT/PROFILE_GRPSZ),
kernel,/home/spike/linux-6.14.7/kernel/scs.c,28,macro,NR_CACHED_SCS,2,
kernel,/home/spike/linux-6.14.7/kernel/smp.c,8,macro,pr_fmt(fmt),"KBUILD_MODNAME "": "" fmt",
kernel,/home/spike/linux-6.14.7/kernel/smp.c,31,macro,CREATE_TRACE_POINTS,,
kernel,/home/spike/linux-6.14.7/kernel/smp.c,38,macro,CSD_TYPE(_csd)	((_csd)->node.u_flags & CSD_FLAG_TYPE_MASK),,
kernel,/home/spike/linux-6.14.7/kernel/smp.c,782,macro,SCF_WAIT,(1U << 0),
kernel,/home/spike/linux-6.14.7/kernel/smp.c,783,macro,SCF_RUN_LOCAL,(1U << 1),
kernel,/home/spike/linux-6.14.7/kernel/seccomp.c,16,macro,pr_fmt(fmt),"""seccomp: "" fmt",
kernel,/home/spike/linux-6.14.7/kernel/seccomp.c,35,macro,SECCOMP_MODE_DEAD,(SECCOMP_MODE_FILTER + 1),
kernel,/home/spike/linux-6.14.7/kernel/seccomp.c,53,macro,SECCOMP_IOCTL_NOTIF_ID_VALID_WRONG_DIR,"SECCOMP_IOR(2, __u64)",
kernel,/home/spike/linux-6.14.7/kernel/seccomp.c,238,macro,MAX_INSNS_PER_PATH,((1 << 18) / sizeof(struct sock_filter)),
kernel,/home/spike/linux-6.14.7/kernel/seccomp.c,394,macro,ACTION_ONLY(ret) ((s32)((ret) & (SECCOMP_RET_ACTION_FULL))),,
kernel,/home/spike/linux-6.14.7/kernel/seccomp.c,966,macro,SECCOMP_LOG_KILL_PROCESS,(1 << 0),
kernel,/home/spike/linux-6.14.7/kernel/seccomp.c,967,macro,SECCOMP_LOG_KILL_THREAD,(1 << 1),
kernel,/home/spike/linux-6.14.7/kernel/seccomp.c,968,macro,SECCOMP_LOG_TRAP,(1 << 2),
kernel,/home/spike/linux-6.14.7/kernel/seccomp.c,969,macro,SECCOMP_LOG_ERRNO,(1 << 3),
kernel,/home/spike/linux-6.14.7/kernel/seccomp.c,970,macro,SECCOMP_LOG_TRACE,(1 << 4),
kernel,/home/spike/linux-6.14.7/kernel/seccomp.c,971,macro,SECCOMP_LOG_LOG,(1 << 5),
kernel,/home/spike/linux-6.14.7/kernel/seccomp.c,972,macro,SECCOMP_LOG_ALLOW,(1 << 6),
kernel,/home/spike/linux-6.14.7/kernel/seccomp.c,973,macro,SECCOMP_LOG_USER_NOTIF,(1 << 7),
kernel,/home/spike/linux-6.14.7/kernel/seccomp.c,1827,macro,EA_IOCTL(cmd)	((cmd) & ~(IOC_INOUT | IOCSIZE_MASK)),,
kernel,/home/spike/linux-6.14.7/kernel/seccomp.c,2271,macro,SECCOMP_RET_KILL_PROCESS_NAME,"""kill_process""",
kernel,/home/spike/linux-6.14.7/kernel/seccomp.c,2272,macro,SECCOMP_RET_KILL_THREAD_NAME,"""kill_thread""",
kernel,/home/spike/linux-6.14.7/kernel/seccomp.c,2273,macro,SECCOMP_RET_TRAP_NAME,"""trap""",
kernel,/home/spike/linux-6.14.7/kernel/seccomp.c,2274,macro,SECCOMP_RET_ERRNO_NAME,"""errno""",
kernel,/home/spike/linux-6.14.7/kernel/seccomp.c,2275,macro,SECCOMP_RET_USER_NOTIF_NAME,"""user_notif""",
kernel,/home/spike/linux-6.14.7/kernel/seccomp.c,2276,macro,SECCOMP_RET_TRACE_NAME,"""trace""",
kernel,/home/spike/linux-6.14.7/kernel/seccomp.c,2277,macro,SECCOMP_RET_LOG_NAME,"""log""",
kernel,/home/spike/linux-6.14.7/kernel/seccomp.c,2278,macro,SECCOMP_RET_ALLOW_NAME,"""allow""",
kernel,/home/spike/linux-6.14.7/kernel/kexec_internal.h,3,macro,LINUX_KEXEC_INTERNAL_H,,
kernel,/home/spike/linux-6.14.7/kernel/audit_fsnotify.c,38,macro,AUDIT_FS_EVENTS,(FS_MOVE | FS_CREATE | FS_DELETE | FS_DELETE_SELF | FS_MOVE_SELF),
kernel,/home/spike/linux-6.14.7/kernel/panic.c,42,macro,PANIC_TIMER_STEP,100,
kernel,/home/spike/linux-6.14.7/kernel/panic.c,43,macro,PANIC_BLINK_SPD,18,
kernel,/home/spike/linux-6.14.7/kernel/panic.c,52,macro,sysctl_oops_all_cpu_backtrace,0,
kernel,/home/spike/linux-6.14.7/kernel/panic.c,72,macro,PANIC_PRINT_TASK_INFO,0x00000001,
kernel,/home/spike/linux-6.14.7/kernel/panic.c,73,macro,PANIC_PRINT_MEM_INFO,0x00000002,
kernel,/home/spike/linux-6.14.7/kernel/panic.c,74,macro,PANIC_PRINT_TIMER_INFO,0x00000004,
kernel,/home/spike/linux-6.14.7/kernel/panic.c,75,macro,PANIC_PRINT_LOCK_INFO,0x00000008,
kernel,/home/spike/linux-6.14.7/kernel/panic.c,76,macro,PANIC_PRINT_FTRACE_INFO,0x00000010,
kernel,/home/spike/linux-6.14.7/kernel/panic.c,77,macro,PANIC_PRINT_ALL_PRINTK_MSG,0x00000020,
kernel,/home/spike/linux-6.14.7/kernel/panic.c,78,macro,PANIC_PRINT_ALL_CPU_BT,0x00000040,
kernel,/home/spike/linux-6.14.7/kernel/panic.c,79,macro,PANIC_PRINT_BLOCKED_TASKS,0x00000080,
kernel,/home/spike/linux-6.14.7/kernel/panic.c,483,macro,"TAINT_FLAG(taint, _c_true, _c_false, _module)","[ TAINT_##taint ] = {						 		.c_true = _c_true, .c_false = _c_false,			 		.module = _module,					 		.desc = #taint,						 }",
kernel,/home/spike/linux-6.14.7/kernel/async.c,61,macro,MAX_WORK,32768,
kernel,/home/spike/linux-6.14.7/kernel/async.c,62,macro,ASYNC_COOKIE_MAX,ULLONG_MAX	/* infinity cookie */,
kernel,/home/spike/linux-6.14.7/kernel/reboot.c,8,macro,pr_fmt(fmt),"""reboot: "" fmt",
kernel,/home/spike/linux-6.14.7/kernel/reboot.c,31,macro,DEFAULT_REBOOT_MODE,= REBOOT_HARD,
kernel,/home/spike/linux-6.14.7/kernel/reboot.c,33,macro,DEFAULT_REBOOT_MODE,,
kernel,/home/spike/linux-6.14.7/kernel/reboot.c,833,macro,POWEROFF_CMD_PATH_LEN,256,
kernel,/home/spike/linux-6.14.7/kernel/reboot.c,1129,macro,REBOOT_COLD_STR,"""cold""",
kernel,/home/spike/linux-6.14.7/kernel/reboot.c,1130,macro,REBOOT_WARM_STR,"""warm""",
kernel,/home/spike/linux-6.14.7/kernel/reboot.c,1131,macro,REBOOT_HARD_STR,"""hard""",
kernel,/home/spike/linux-6.14.7/kernel/reboot.c,1132,macro,REBOOT_SOFT_STR,"""soft""",
kernel,/home/spike/linux-6.14.7/kernel/reboot.c,1133,macro,REBOOT_GPIO_STR,"""gpio""",
kernel,/home/spike/linux-6.14.7/kernel/reboot.c,1134,macro,REBOOT_UNDEFINED_STR,"""undefined""",
kernel,/home/spike/linux-6.14.7/kernel/reboot.c,1136,macro,BOOT_TRIPLE_STR,"""triple""",
kernel,/home/spike/linux-6.14.7/kernel/reboot.c,1137,macro,BOOT_KBD_STR,"""kbd""",
kernel,/home/spike/linux-6.14.7/kernel/reboot.c,1138,macro,BOOT_BIOS_STR,"""bios""",
kernel,/home/spike/linux-6.14.7/kernel/reboot.c,1139,macro,BOOT_ACPI_STR,"""acpi""",
kernel,/home/spike/linux-6.14.7/kernel/reboot.c,1140,macro,BOOT_EFI_STR,"""efi""",
kernel,/home/spike/linux-6.14.7/kernel/reboot.c,1141,macro,BOOT_PCI_STR,"""pci""",
kernel,/home/spike/linux-6.14.7/kernel/reboot.c,1339,macro,kernel_reboot_sysctls_init() do { } while (0),,
kernel,/home/spike/linux-6.14.7/kernel/auditsc.c,32,macro,pr_fmt(fmt),"KBUILD_MODNAME "": "" fmt",
kernel,/home/spike/linux-6.14.7/kernel/auditsc.c,72,macro,AUDITSC_INVALID,0,
kernel,/home/spike/linux-6.14.7/kernel/auditsc.c,73,macro,AUDITSC_SUCCESS,1,
kernel,/home/spike/linux-6.14.7/kernel/auditsc.c,74,macro,AUDITSC_FAILURE,2,
kernel,/home/spike/linux-6.14.7/kernel/auditsc.c,78,macro,MAX_EXECVE_AUDIT_LEN,7500,
kernel,/home/spike/linux-6.14.7/kernel/auditsc.c,81,macro,MAX_PROCTITLE_AUDIT_LEN,128,
kernel,/home/spike/linux-6.14.7/kernel/auditsc.c,95,macro,AUDIT_AUX_PIDS,16,
kernel,/home/spike/linux-6.14.7/kernel/notifier.c,9,macro,CREATE_TRACE_POINTS,,
kernel,/home/spike/linux-6.14.7/kernel/sysctl.c,324,macro,TMPBUFLEN,22,
kernel,/home/spike/linux-6.14.7/kernel/hung_task.c,45,macro,HUNG_TASK_LOCK_BREAK,(HZ / 10),
kernel,/home/spike/linux-6.14.7/kernel/hung_task.c,74,macro,sysctl_hung_task_all_cpu_backtrace,0,
kernel,/home/spike/linux-6.14.7/kernel/hung_task.c,344,macro,hung_task_sysctl_init() do { } while (0),,
kernel,/home/spike/linux-6.14.7/kernel/stackleak.c,68,macro,skip_erasing()	static_branch_unlikely(&stack_erasing_bypass),,
kernel,/home/spike/linux-6.14.7/kernel/stackleak.c,70,macro,skip_erasing(),false,
