Subsystem,File Path,Line Number,Type,Name,Value,Description
kernel,/home/spike/linux-6.14.7/kernel/kthread.c,414,static_const,param,{ .sched_priority = 0 },
kernel,/home/spike/linux-6.14.7/kernel/sysctl.c,96,static_const,six_hundred_forty_kb,640 * 1024,
kernel,/home/spike/linux-6.14.7/kernel/sysctl.c,100,static_const,ngroups_max,NGROUPS_MAX,
kernel,/home/spike/linux-6.14.7/kernel/sysctl.c,101,static_const,cap_last_cap,CAP_LAST_CAP,
kernel,/home/spike/linux-6.14.7/kernel/hung_task.c,276,static_const,hung_task_timeout_max,(LONG_MAX / HZ),
kernel,/home/spike/linux-6.14.7/kernel/padata.c,508,static_const,load_balance_factor,4,
kernel,/home/spike/linux-6.14.7/kernel/watchdog.c,1070,static_const,sixty,60,
kernel,/home/spike/linux-6.14.7/kernel/rcu/tree.h,464,static_const,__tracepoint_string,rcu_name,
kernel,/home/spike/linux-6.14.7/kernel/trace/bpf_trace.c,1182,static_const,br_entry_size,sizeof(struct perf_branch_entry),
kernel,/home/spike/linux-6.14.7/kernel/trace/bpf_trace.c,1795,static_const,br_entry_size,sizeof(struct perf_branch_entry),
kernel,/home/spike/linux-6.14.7/kernel/printk/sysctl.c,12,static_const,ten_thousand,10000,
kernel,/home/spike/linux-6.14.7/kernel/bpf/core.c,838,static_const,poke_tab_max,1024,
kernel,/home/spike/linux-6.14.7/kernel/bpf/token.c,104,static_const,bpf_token_iops,{ },
kernel,/home/spike/linux-6.14.7/kernel/bpf/inode.c,98,static_const,bpf_prog_iops,{ },
kernel,/home/spike/linux-6.14.7/kernel/bpf/inode.c,99,static_const,bpf_map_iops,{ },
kernel,/home/spike/linux-6.14.7/kernel/bpf/inode.c,100,static_const,bpf_link_iops,{ },
kernel,/home/spike/linux-6.14.7/kernel/bpf/verifier.c,8743,static_const,fullsock_types,{ .types = { PTR_TO_SOCKET } },
kernel,/home/spike/linux-6.14.7/kernel/bpf/verifier.c,8744,static_const,scalar_types,{ .types = { SCALAR_VALUE } },
kernel,/home/spike/linux-6.14.7/kernel/bpf/verifier.c,8745,static_const,context_types,{ .types = { PTR_TO_CTX } },
kernel,/home/spike/linux-6.14.7/kernel/bpf/verifier.c,8746,static_const,ringbuf_mem_types,{ .types = { PTR_TO_MEM | MEM_RINGBUF } },
kernel,/home/spike/linux-6.14.7/kernel/bpf/verifier.c,8747,static_const,const_map_ptr_types,{ .types = { CONST_PTR_TO_MAP } },
kernel,/home/spike/linux-6.14.7/kernel/bpf/verifier.c,8762,static_const,func_ptr_types,{ .types = { PTR_TO_FUNC } },
kernel,/home/spike/linux-6.14.7/kernel/bpf/verifier.c,8763,static_const,stack_ptr_types,{ .types = { PTR_TO_STACK } },
kernel,/home/spike/linux-6.14.7/kernel/bpf/verifier.c,8764,static_const,const_str_ptr_types,{ .types = { PTR_TO_MAP_VALUE } },
kernel,/home/spike/linux-6.14.7/kernel/bpf/verifier.c,8765,static_const,timer_types,{ .types = { PTR_TO_MAP_VALUE } },
kernel,/home/spike/linux-6.14.7/kernel/bpf/verifier.c,16330,static_const,ctx_reg,BPF_REG_6,
kernel,/home/spike/linux-6.14.7/kernel/bpf/verifier.c,20201,static_const,NOP,"BPF_JMP_IMM(BPF_JA, 0, 0, 0)",
kernel,/home/spike/linux-6.14.7/kernel/bpf/verifier.c,20202,static_const,MAY_GOTO_0,"BPF_RAW_INSN(BPF_JMP | BPF_JCOND, 0, 0, 0, 0)",
kernel,/home/spike/linux-6.14.7/kernel/sched/deadline.c,1216,static_const,dl_server_min_res,1 * NSEC_PER_MSEC,
kernel,/home/spike/linux-6.14.7/kernel/sched/core.c,9389,static_const,min_cfs_quota_period,1 * NSEC_PER_MSEC,
kernel,/home/spike/linux-6.14.7/kernel/sched/core.c,9391,static_const,max_cfs_runtime,MAX_BW * NSEC_PER_USEC,
kernel,/home/spike/linux-6.14.7/kernel/sched/rt.c,9,static_const,max_rt_runtime,MAX_BW,
kernel,/home/spike/linux-6.14.7/kernel/sched/fair.c,6308,static_const,min_cfs_rq_runtime,1 * NSEC_PER_MSEC,
kernel,/home/spike/linux-6.14.7/kernel/sched/fair.c,6310,static_const,min_bandwidth_expiration,2 * NSEC_PER_MSEC,
kernel,/home/spike/linux-6.14.7/kernel/sched/fair.c,6312,static_const,cfs_bandwidth_slack_period,5 * NSEC_PER_MSEC,
kernel,/home/spike/linux-6.14.7/kernel/debug/kdb/kdb_main.c,129,static_const,__nkdb_err,ARRAY_SIZE(kdbmsgs),
kernel,/home/spike/linux-6.14.7/kernel/debug/kdb/kdb_main.c,156,static_const,__nenv,ARRAY_SIZE(__env),
