Subsystem,File Path,Line Number,Type,Name,Value,Description
mm,/home/spike/linux-6.14.7/mm/oom_kill.c,53,macro,CREATE_TRACE_POINTS,,
mm,/home/spike/linux-6.14.7/mm/oom_kill.c,611,macro,MAX_OOM_REAP_RETRIES,10,
mm,/home/spike/linux-6.14.7/mm/oom_kill.c,694,macro,OOM_REAPER_DELAY,(2*HZ),
mm,/home/spike/linux-6.14.7/mm/cma.h,3,macro,__MM_CMA_H__,,
mm,/home/spike/linux-6.14.7/mm/hmm.c,464,macro,hmm_vma_walk_pud,NULL,
mm,/home/spike/linux-6.14.7/mm/hmm.c,517,macro,hmm_vma_walk_hugetlb_entry,NULL,
mm,/home/spike/linux-6.14.7/mm/shuffle.h,4,macro,_MM_SHUFFLE_H,,
mm,/home/spike/linux-6.14.7/mm/shuffle.h,7,macro,SHUFFLE_ORDER,MAX_PAGE_ORDER,
mm,/home/spike/linux-6.14.7/mm/page_ext.c,65,macro,PAGE_EXT_INVALID,(0x1),
mm,/home/spike/linux-6.14.7/mm/memfd.c,29,macro,MEMFD_TAG_PINNED,PAGECACHE_TAG_TOWRITE,
mm,/home/spike/linux-6.14.7/mm/memfd.c,30,macro,LAST_SCAN,4       /* about 150ms max */,
mm,/home/spike/linux-6.14.7/mm/memfd.c,186,macro,F_ALL_SEALS,(F_SEAL_SEAL |  		     F_SEAL_EXEC |  		     F_SEAL_SHRINK |  		     F_SEAL_GROW |  		     F_SEAL_WRITE |  F_SEAL_FUTURE_WRITE),
mm,/home/spike/linux-6.14.7/mm/memfd.c,301,macro,MFD_NAME_PREFIX,"""memfd:""",
mm,/home/spike/linux-6.14.7/mm/memfd.c,302,macro,MFD_NAME_PREFIX_LEN,(sizeof(MFD_NAME_PREFIX) - 1),
mm,/home/spike/linux-6.14.7/mm/memfd.c,303,macro,MFD_NAME_MAX_LEN,(NAME_MAX - MFD_NAME_PREFIX_LEN),
mm,/home/spike/linux-6.14.7/mm/memfd.c,305,macro,MFD_ALL_FLAGS,(MFD_CLOEXEC | MFD_ALLOW_SEALING | MFD_HUGETLB | MFD_NOEXEC_SEAL | MFD_EXEC),
mm,/home/spike/linux-6.14.7/mm/mapping_dirty_helpers.c,73,macro,"to_clean_walk(_wpwalk) container_of(_wpwalk, struct clean_walk, base)",,
mm,/home/spike/linux-6.14.7/mm/debug_vm_pgtable.c,11,macro,pr_fmt(fmt),"""debug_vm_pgtable: [%-25s]: "" fmt, __func__",
mm,/home/spike/linux-6.14.7/mm/debug_vm_pgtable.c,44,macro,RANDOM_NZVALUE,"GENMASK(7, 0)",
mm,/home/spike/linux-6.14.7/mm/debug_vm_pgtable.c,1318,macro,VM_FLAGS_START,(VM_NONE),
mm,/home/spike/linux-6.14.7/mm/debug_vm_pgtable.c,1319,macro,VM_FLAGS_END,(VM_SHARED | VM_EXEC | VM_WRITE | VM_READ),
mm,/home/spike/linux-6.14.7/mm/memcontrol-v1.h,4,macro,__MM_MEMCONTROL_V1_H,,
mm,/home/spike/linux-6.14.7/mm/memcontrol-v1.h,30,macro,"for_each_mem_cgroup_tree(iter, root)		 	for (iter = mem_cgroup_iter(root, NULL, NULL);	 	     iter != NULL;				 iter = mem_cgroup_iter(root, iter, NULL))",,
mm,/home/spike/linux-6.14.7/mm/memcontrol-v1.h,35,macro,"for_each_mem_cgroup(iter)			 	for (iter = mem_cgroup_iter(NULL, NULL, NULL);	 	     iter != NULL;				 iter = mem_cgroup_iter(NULL, iter, NULL))",,
mm,/home/spike/linux-6.14.7/mm/hugetlb_vmemmap.c,11,macro,pr_fmt(fmt),"""HugeTLB: "" fmt",
mm,/home/spike/linux-6.14.7/mm/hugetlb_vmemmap.c,43,macro,VMEMMAP_SPLIT_NO_TLB_FLUSH,BIT(0),
mm,/home/spike/linux-6.14.7/mm/hugetlb_vmemmap.c,45,macro,VMEMMAP_REMAP_NO_TLB_FLUSH,BIT(1),
mm,/home/spike/linux-6.14.7/mm/hugetlb_vmemmap.c,47,macro,VMEMMAP_SYNCHRONIZE_RCU,BIT(2),
mm,/home/spike/linux-6.14.7/mm/hugetlb_vmemmap.c,245,macro,NR_RESET_STRUCT_PAGE,3,
mm,/home/spike/linux-6.14.7/mm/page_isolation.c,15,macro,CREATE_TRACE_POINTS,,
