Subsystem,File Path,Line Number,Type,Name,Value,Description
net,/home/spike/linux-6.14.7/net/key/af_key.c,44,static_const,dummy_mark,"{0, 0}",
net,/home/spike/linux-6.14.7/net/rxrpc/sysctl.c,14,static_const,rxrpc_rx_mtu_min,500,
net,/home/spike/linux-6.14.7/net/rxrpc/sysctl.c,15,static_const,rxrpc_jumbo_max,RXRPC_MAX_NR_JUMBO,
net,/home/spike/linux-6.14.7/net/rxrpc/sysctl.c,16,static_const,four,4,
net,/home/spike/linux-6.14.7/net/rxrpc/sysctl.c,17,static_const,max_backlog,RXRPC_BACKLOG_MAX - 1,
net,/home/spike/linux-6.14.7/net/rxrpc/sysctl.c,18,static_const,n_65535,65535,
net,/home/spike/linux-6.14.7/net/rxrpc/sysctl.c,19,static_const,n_max_acks,255,
net,/home/spike/linux-6.14.7/net/rxrpc/sysctl.c,20,static_const,one_ms,1,
net,/home/spike/linux-6.14.7/net/rxrpc/sysctl.c,21,static_const,max_ms,1000,
net,/home/spike/linux-6.14.7/net/rxrpc/sysctl.c,22,static_const,one_jiffy,1,
net,/home/spike/linux-6.14.7/net/rxrpc/sysctl.c,23,static_const,max_jiffies,MAX_JIFFY_OFFSET,
net,/home/spike/linux-6.14.7/net/rxrpc/sysctl.c,25,static_const,max_500,500,
net,/home/spike/linux-6.14.7/net/netfilter/nf_conntrack_proto_icmp.c,25,static_const,nf_ct_icmp_timeout,30*HZ,
net,/home/spike/linux-6.14.7/net/netfilter/nf_nat_helper.c,204,static_const,max_attempts,128,
net,/home/spike/linux-6.14.7/net/netfilter/nf_nat_core.c,251,static_const,uses_nat,IPS_NAT_MASK | IPS_SEQ_ADJUST_BIT,
net,/home/spike/linux-6.14.7/net/netfilter/nf_nat_core.c,323,static_const,flags_needed,IPS_SRC_NAT,
net,/home/spike/linux-6.14.7/net/netfilter/nf_nat_core.c,350,static_const,flags_offload,IPS_OFFLOAD | IPS_HW_OFFLOAD,
net,/home/spike/linux-6.14.7/net/netfilter/nf_conntrack_proto_generic.c,13,static_const,nf_ct_generic_timeout,600*HZ,
net,/home/spike/linux-6.14.7/net/netfilter/nfnetlink_queue.c,832,static_const,flags,IPS_CONFIRMED | IPS_DYING,
net,/home/spike/linux-6.14.7/net/netfilter/nf_nat_redirect.c,81,static_const,loopback_addr,IN6ADDR_LOOPBACK_INIT,
net,/home/spike/linux-6.14.7/net/netfilter/nf_conntrack_proto_icmpv6.c,29,static_const,nf_ct_icmpv6_timeout,30*HZ,
net,/home/spike/linux-6.14.7/net/netfilter/nf_flow_table_core.c,503,static_const,min_timeout,5 * 60 * HZ,
net,/home/spike/linux-6.14.7/net/netfilter/ipset/ip_set_hash_gen.h,171,static_const,zeromask,{},
net,/home/spike/linux-6.14.7/net/rfkill/rfkill-gpio.c,57,static_const,reset_gpios,"{ 0, 0, false }",
net,/home/spike/linux-6.14.7/net/rfkill/rfkill-gpio.c,58,static_const,shutdown_gpios,"{ 1, 0, false }",
net,/home/spike/linux-6.14.7/net/ipv6/addrconf.c,6739,static_const,two_five_five,255,
net,/home/spike/linux-6.14.7/net/x25/af_x25.c,72,static_const,null_x25_address,"{""               ""}",
net,/home/spike/linux-6.14.7/net/wireless/wext-core.c,260,static_const,standard_ioctl_num,ARRAY_SIZE(standard_ioctl),
net,/home/spike/linux-6.14.7/net/wireless/wext-core.c,310,static_const,standard_event_num,ARRAY_SIZE(standard_event),
net,/home/spike/linux-6.14.7/net/ipv4/ip_tunnel.c,575,static_const,max_allowed,512,
net,/home/spike/linux-6.14.7/net/ipv4/fib_trie.c,290,static_const,halve_threshold,25,
net,/home/spike/linux-6.14.7/net/ipv4/fib_trie.c,291,static_const,inflate_threshold,50,
net,/home/spike/linux-6.14.7/net/ipv4/fib_trie.c,292,static_const,halve_threshold_root,15,
net,/home/spike/linux-6.14.7/net/ipv4/fib_trie.c,293,static_const,inflate_threshold_root,30,
net,/home/spike/linux-6.14.7/net/ipv4/tcp_bbr.c,133,static_const,bbr_bw_rtts,CYCLE_LEN + 2,
net,/home/spike/linux-6.14.7/net/ipv4/tcp_bbr.c,135,static_const,bbr_min_rtt_win_sec,10,
net,/home/spike/linux-6.14.7/net/ipv4/tcp_bbr.c,137,static_const,bbr_probe_rtt_mode_ms,200,
net,/home/spike/linux-6.14.7/net/ipv4/tcp_bbr.c,139,static_const,bbr_min_tso_rate,1200000,
net,/home/spike/linux-6.14.7/net/ipv4/tcp_bbr.c,147,static_const,bbr_pacing_margin_percent,1,
net,/home/spike/linux-6.14.7/net/ipv4/tcp_bbr.c,154,static_const,bbr_high_gain,BBR_UNIT * 2885 / 1000 + 1,
net,/home/spike/linux-6.14.7/net/ipv4/tcp_bbr.c,158,static_const,bbr_drain_gain,BBR_UNIT * 1000 / 2885,
net,/home/spike/linux-6.14.7/net/ipv4/tcp_bbr.c,160,static_const,bbr_cwnd_gain,BBR_UNIT * 2,
net,/home/spike/linux-6.14.7/net/ipv4/tcp_bbr.c,169,static_const,bbr_cycle_rand,7,
net,/home/spike/linux-6.14.7/net/ipv4/tcp_bbr.c,175,static_const,bbr_cwnd_min_target,4,
net,/home/spike/linux-6.14.7/net/ipv4/tcp_bbr.c,179,static_const,bbr_full_bw_thresh,BBR_UNIT * 5 / 4,
