Subsystem,File Path,Line Number,Type,Name,Value,Description
ipc,/home/spike/linux-6.14.7/ipc/util.h,29,macro,IPCMNI_SHIFT,15,
ipc,/home/spike/linux-6.14.7/ipc/util.h,30,macro,IPCMNI_EXTEND_SHIFT,24,
ipc,/home/spike/linux-6.14.7/ipc/util.h,32,macro,IPCMNI,(1 << IPCMNI_SHIFT),
ipc,/home/spike/linux-6.14.7/ipc/util.h,33,macro,IPCMNI_EXTEND,(1 << IPCMNI_EXTEND_SHIFT),
ipc,/home/spike/linux-6.14.7/ipc/util.h,41,macro,IPCMNI_IDX_MASK,((1 << ipc_mni_shift) - 1),
ipc,/home/spike/linux-6.14.7/ipc/util.h,48,macro,IPCMNI_IDX_MASK,((1 << IPCMNI_SHIFT) - 1),
ipc,/home/spike/linux-6.14.7/ipc/util.h,120,macro,"ipc_init_proc_interface(path, header, ids, show) do {} while (0)",,
ipc,/home/spike/linux-6.14.7/ipc/util.h,123,macro,IPC_SEM_IDS,0,
ipc,/home/spike/linux-6.14.7/ipc/util.h,124,macro,IPC_MSG_IDS,1,
ipc,/home/spike/linux-6.14.7/ipc/util.h,125,macro,IPC_SHM_IDS,2,
ipc,/home/spike/linux-6.14.7/ipc/mqueue.c,51,macro,MQUEUE_MAGIC,0x19800202,
ipc,/home/spike/linux-6.14.7/ipc/mqueue.c,52,macro,DIRENT_SIZE,20,
ipc,/home/spike/linux-6.14.7/ipc/mqueue.c,53,macro,FILENT_SIZE,80,
ipc,/home/spike/linux-6.14.7/ipc/mqueue.c,55,macro,SEND,0,
ipc,/home/spike/linux-6.14.7/ipc/mqueue.c,56,macro,RECV,1,
ipc,/home/spike/linux-6.14.7/ipc/mqueue.c,58,macro,STATE_NONE,0,
ipc,/home/spike/linux-6.14.7/ipc/mqueue.c,59,macro,STATE_READY,1,
ipc,/home/spike/linux-6.14.7/ipc/msg.c,94,macro,SEARCH_ANY,1,
ipc,/home/spike/linux-6.14.7/ipc/msg.c,95,macro,SEARCH_EQUAL,2,
ipc,/home/spike/linux-6.14.7/ipc/msg.c,96,macro,SEARCH_NOTEQUAL,3,
ipc,/home/spike/linux-6.14.7/ipc/msg.c,97,macro,SEARCH_LESSEQUAL,4,
ipc,/home/spike/linux-6.14.7/ipc/msg.c,98,macro,SEARCH_NUMBER,5,
ipc,/home/spike/linux-6.14.7/ipc/shm.c,81,macro,SHM_DEST,01000	/* segment will be destroyed on last detach */,
ipc,/home/spike/linux-6.14.7/ipc/shm.c,82,macro,SHM_LOCKED,02000   /* segment will not be swapped */,
ipc,/home/spike/linux-6.14.7/ipc/shm.c,1847,macro,SIZE_SPEC,"""%10lu""",
ipc,/home/spike/linux-6.14.7/ipc/shm.c,1849,macro,SIZE_SPEC,"""%21lu""",
ipc,/home/spike/linux-6.14.7/ipc/sem.c,177,macro,SEMMSL_FAST,256 /* 512 bytes on stack */,
ipc,/home/spike/linux-6.14.7/ipc/sem.c,178,macro,SEMOPM_FAST,64  /* ~ 372 bytes on stack */,
ipc,/home/spike/linux-6.14.7/ipc/sem.c,185,macro,USE_GLOBAL_LOCK_HYSTERESIS,10,
ipc,/home/spike/linux-6.14.7/ipc/sem.c,244,macro,sc_semmsl,sem_ctls[0],
ipc,/home/spike/linux-6.14.7/ipc/sem.c,245,macro,sc_semmns,sem_ctls[1],
ipc,/home/spike/linux-6.14.7/ipc/sem.c,246,macro,sc_semopm,sem_ctls[2],
ipc,/home/spike/linux-6.14.7/ipc/sem.c,247,macro,sc_semmni,sem_ctls[3],
ipc,/home/spike/linux-6.14.7/ipc/sem.c,381,macro,SEM_GLOBAL_LOCK,(-1),
