Subsystem,File Path,Line Number,Type,Name,Value,Description
net,/home/spike/linux-6.14.7/net/compat.c,105,macro,"CMSG_COMPAT_ALIGN(len)	ALIGN((len), sizeof(s32))",,
net,/home/spike/linux-6.14.7/net/compat.c,333,macro,AL(x) ((x) * sizeof(u32)),,
net,/home/spike/linux-6.14.7/net/key/af_key.c,32,macro,_X2KEY(x) ((x) == XFRM_INF ? 0 : (x)),,
net,/home/spike/linux-6.14.7/net/key/af_key.c,33,macro,_KEY2X(x) ((x) == 0 ? XFRM_INF : (x)),,
net,/home/spike/linux-6.14.7/net/key/af_key.c,43,macro,DUMMY_MARK,0,
net,/home/spike/linux-6.14.7/net/key/af_key.c,211,macro,BROADCAST_ALL,0,
net,/home/spike/linux-6.14.7/net/key/af_key.c,212,macro,BROADCAST_ONE,1,
net,/home/spike/linux-6.14.7/net/key/af_key.c,213,macro,BROADCAST_REGISTERED,2,
net,/home/spike/linux-6.14.7/net/key/af_key.c,214,macro,BROADCAST_PROMISC_ONLY,4,
net,/home/spike/linux-6.14.7/net/key/af_key.c,693,macro,PFKEY_ALIGN8(a) (1 + (((a) - 1) | (8 - 1))),,
net,/home/spike/linux-6.14.7/net/socket.c,385,macro,XATTR_NAME_SOCKPROTONAME_LEN,(sizeof(XATTR_NAME_SOCKPROTONAME)-1),
net,/home/spike/linux-6.14.7/net/ceph/auth_x.h,28,macro,CEPHX_AU_ENC_BUF_LEN,128  /* big enough for encrypted blob */,
net,/home/spike/linux-6.14.7/net/shaper/shaper.c,18,macro,NET_SHAPER_SCOPE_SHIFT,26,
net,/home/spike/linux-6.14.7/net/shaper/shaper.c,19,macro,NET_SHAPER_ID_MASK,"GENMASK(NET_SHAPER_SCOPE_SHIFT - 1, 0)",
net,/home/spike/linux-6.14.7/net/shaper/shaper.c,20,macro,NET_SHAPER_SCOPE_MASK,"GENMASK(31, NET_SHAPER_SCOPE_SHIFT)",
net,/home/spike/linux-6.14.7/net/shaper/shaper.c,248,macro,NET_SHAPER_NOT_VALID,XA_MARK_1,
net,/home/spike/linux-6.14.7/net/ceph/osdmap.c,1282,macro,OSDMAP_WRAPPER_COMPAT_VER,7,
net,/home/spike/linux-6.14.7/net/ceph/osdmap.c,1283,macro,OSDMAP_CLIENT_DATA_COMPAT_VER,1,
net,/home/spike/linux-6.14.7/net/ceph/osdmap.c,2488,macro,CEPH_DEFAULT_CHOOSE_ARGS,-1,
net,/home/spike/linux-6.14.7/net/ceph/crypto.h,8,macro,CEPH_KEY_LEN,16,
net,/home/spike/linux-6.14.7/net/ceph/crypto.h,9,macro,CEPH_MAX_CON_SECRET_LEN,64,
net,/home/spike/linux-6.14.7/net/ceph/auth_x_protocol.h,5,macro,CEPHX_GET_AUTH_SESSION_KEY,0x0100,
net,/home/spike/linux-6.14.7/net/ceph/auth_x_protocol.h,6,macro,CEPHX_GET_PRINCIPAL_SESSION_KEY,0x0200,
net,/home/spike/linux-6.14.7/net/ceph/auth_x_protocol.h,7,macro,CEPHX_GET_ROTATING_KEY,0x0400,
net,/home/spike/linux-6.14.7/net/ceph/auth_x_protocol.h,92,macro,CEPHX_ENC_MAGIC,0xff009cad8826aa55ull,
net,/home/spike/linux-6.14.7/net/ceph/ceph_hash.c,10,macro,"mix(a, b, c)						 	do {							 		a = a - b;  a = a - c;  a = a ^ (c >> 13);	 		b = b - c;  b = b - a;  b = b ^ (a << 8);	 		c = c - a;  c = c - b;  c = c ^ (b >> 13);	 		a = a - b;  a = a - c;  a = a ^ (c >> 12);	 		b = b - c;  b = b - a;  b = b ^ (a << 16);	 		c = c - a;  c = c - b;  c = c ^ (b >> 5);	 		a = a - b;  a = a - c;  a = a ^ (c >> 3);	 		b = b - c;  b = b - a;  b = b ^ (a << 10);	 		c = c - a;  c = c - b;  c = c ^ (b >> 15);	 } while (0)",,
net,/home/spike/linux-6.14.7/net/ceph/messenger.c,80,macro,CON_SOCK_STATE_NEW,0	/* -> CLOSED */,
net,/home/spike/linux-6.14.7/net/ceph/messenger.c,81,macro,CON_SOCK_STATE_CLOSED,1	/* -> CONNECTING */,
net,/home/spike/linux-6.14.7/net/ceph/messenger.c,82,macro,CON_SOCK_STATE_CONNECTING,2	/* -> CONNECTED or -> CLOSING */,
net,/home/spike/linux-6.14.7/net/ceph/messenger.c,83,macro,CON_SOCK_STATE_CONNECTED,3	/* -> CLOSING or -> CLOSED */,
net,/home/spike/linux-6.14.7/net/ceph/messenger.c,84,macro,CON_SOCK_STATE_CLOSING,4	/* -> CLOSED */,
net,/home/spike/linux-6.14.7/net/ceph/messenger.c,154,macro,ADDR_STR_COUNT_LOG,5	/* log2(# address strings in array) */,
net,/home/spike/linux-6.14.7/net/ceph/messenger.c,155,macro,ADDR_STR_COUNT,(1 << ADDR_STR_COUNT_LOG),
net,/home/spike/linux-6.14.7/net/ceph/messenger.c,156,macro,ADDR_STR_COUNT_MASK,(ADDR_STR_COUNT - 1),
net,/home/spike/linux-6.14.7/net/ceph/messenger.c,157,macro,MAX_ADDR_STR_LEN,64	/* 54 is enough */,
net,/home/spike/linux-6.14.7/net/ceph/messenger_v2.c,30,macro,FRAME_TAG_HELLO,1,
net,/home/spike/linux-6.14.7/net/ceph/messenger_v2.c,31,macro,FRAME_TAG_AUTH_REQUEST,2,
net,/home/spike/linux-6.14.7/net/ceph/messenger_v2.c,32,macro,FRAME_TAG_AUTH_BAD_METHOD,3,
net,/home/spike/linux-6.14.7/net/ceph/messenger_v2.c,33,macro,FRAME_TAG_AUTH_REPLY_MORE,4,
net,/home/spike/linux-6.14.7/net/ceph/messenger_v2.c,34,macro,FRAME_TAG_AUTH_REQUEST_MORE,5,
net,/home/spike/linux-6.14.7/net/ceph/messenger_v2.c,35,macro,FRAME_TAG_AUTH_DONE,6,
net,/home/spike/linux-6.14.7/net/ceph/messenger_v2.c,36,macro,FRAME_TAG_AUTH_SIGNATURE,7,
net,/home/spike/linux-6.14.7/net/ceph/messenger_v2.c,37,macro,FRAME_TAG_CLIENT_IDENT,8,
net,/home/spike/linux-6.14.7/net/ceph/messenger_v2.c,38,macro,FRAME_TAG_SERVER_IDENT,9,
net,/home/spike/linux-6.14.7/net/ceph/messenger_v2.c,39,macro,FRAME_TAG_IDENT_MISSING_FEATURES,10,
net,/home/spike/linux-6.14.7/net/ceph/messenger_v2.c,40,macro,FRAME_TAG_SESSION_RECONNECT,11,
net,/home/spike/linux-6.14.7/net/ceph/messenger_v2.c,41,macro,FRAME_TAG_SESSION_RESET,12,
net,/home/spike/linux-6.14.7/net/ceph/messenger_v2.c,42,macro,FRAME_TAG_SESSION_RETRY,13,
net,/home/spike/linux-6.14.7/net/ceph/messenger_v2.c,43,macro,FRAME_TAG_SESSION_RETRY_GLOBAL,14,
net,/home/spike/linux-6.14.7/net/ceph/messenger_v2.c,44,macro,FRAME_TAG_SESSION_RECONNECT_OK,15,
net,/home/spike/linux-6.14.7/net/ceph/messenger_v2.c,45,macro,FRAME_TAG_WAIT,16,
net,/home/spike/linux-6.14.7/net/ceph/messenger_v2.c,46,macro,FRAME_TAG_MESSAGE,17,
net,/home/spike/linux-6.14.7/net/ceph/messenger_v2.c,47,macro,FRAME_TAG_KEEPALIVE2,18,
net,/home/spike/linux-6.14.7/net/ceph/messenger_v2.c,48,macro,FRAME_TAG_KEEPALIVE2_ACK,19,
net,/home/spike/linux-6.14.7/net/ceph/messenger_v2.c,49,macro,FRAME_TAG_ACK,20,
net,/home/spike/linux-6.14.7/net/ceph/messenger_v2.c,51,macro,FRAME_LATE_STATUS_ABORTED,0x1,
net,/home/spike/linux-6.14.7/net/ceph/messenger_v2.c,52,macro,FRAME_LATE_STATUS_COMPLETE,0xe,
net,/home/spike/linux-6.14.7/net/ceph/messenger_v2.c,53,macro,FRAME_LATE_STATUS_ABORTED_MASK,0xf,
net,/home/spike/linux-6.14.7/net/ceph/messenger_v2.c,55,macro,IN_S_HANDLE_PREAMBLE,1,
net,/home/spike/linux-6.14.7/net/ceph/messenger_v2.c,56,macro,IN_S_HANDLE_CONTROL,2,
net,/home/spike/linux-6.14.7/net/ceph/messenger_v2.c,57,macro,IN_S_HANDLE_CONTROL_REMAINDER,3,
net,/home/spike/linux-6.14.7/net/ceph/messenger_v2.c,58,macro,IN_S_PREPARE_READ_DATA,4,
net,/home/spike/linux-6.14.7/net/ceph/messenger_v2.c,59,macro,IN_S_PREPARE_READ_DATA_CONT,5,
