Subsystem,File Path,Line Number,Type,Name,Value,Description
mm,/home/spike/linux-6.14.7/mm/oom_kill.c,611,macro,MAX_OOM_REAP_RETRIES,10,
mm,/home/spike/linux-6.14.7/mm/oom_kill.c,694,macro,OOM_REAPER_DELAY,(2*HZ),
mm,/home/spike/linux-6.14.7/mm/memfd.c,30,macro,LAST_SCAN,4       /* about 150ms max */,
mm,/home/spike/linux-6.14.7/mm/memfd.c,302,macro,MFD_NAME_PREFIX_LEN,(sizeof(MFD_NAME_PREFIX) - 1),
mm,/home/spike/linux-6.14.7/mm/debug_vm_pgtable.c,11,macro,pr_fmt(fmt),"""debug_vm_pgtable: [%-25s]: "" fmt, __func__",
mm,/home/spike/linux-6.14.7/mm/hugetlb_vmemmap.c,245,macro,NR_RESET_STRUCT_PAGE,3,
mm,/home/spike/linux-6.14.7/mm/highmem.c,159,macro,lock_kmap_any(flags)     do { spin_lock(&kmap_lock); (void)(flags); } while (0),,
mm,/home/spike/linux-6.14.7/mm/highmem.c,161,macro,unlock_kmap_any(flags)   do { spin_unlock(&kmap_lock); (void)(flags); } while (0),,
mm,/home/spike/linux-6.14.7/mm/highmem.c,721,macro,PA_HASH_ORDER,7,
mm,/home/spike/linux-6.14.7/mm/zbud.c,68,macro,NCHUNKS_ORDER,6,
mm,/home/spike/linux-6.14.7/mm/zbud.c,71,macro,CHUNK_SIZE,(1 << CHUNK_SHIFT),
mm,/home/spike/linux-6.14.7/mm/percpu-stats.c,19,macro,"P(X, Y)  seq_printf(m, ""  %-20s: %12lld\n"", X, (long long int)Y)",,
mm,/home/spike/linux-6.14.7/mm/percpu-stats.c,160,macro,"PL(X)								 seq_printf(m, ""  %-20s: %12lld\n"", #X, (long long int)pcpu_stats_ai.X)",,
mm,/home/spike/linux-6.14.7/mm/percpu-stats.c,177,macro,"PU(X)  seq_printf(m, ""  %-20s: %12llu\n"", #X, (unsigned long long)pcpu_stats.X)",,
