Linux 6.8.0-101-generic (node-0.chenzj-301213.xkernel-pg0.utah.cloudlab.us) 	04/21/26 	_x86_64_	(56 CPU)

04:35:41        CPU     %user     %nice   %system   %iowait    %steal     %idle
04:35:42          5     21.11      0.00     12.22     66.67      0.00      0.00
04:35:43          5     19.77      0.00      9.30     70.93      0.00      0.00
04:35:44          5     19.32      0.00     11.36     69.32      0.00      0.00
04:35:45          5     19.77      0.00     10.47     69.77      0.00      0.00
04:35:46          5     20.22      0.00     10.11     69.66      0.00      0.00
04:35:47          5     19.54      0.00     10.34     70.11      0.00      0.00
04:35:48          5     21.98      0.00     10.99     67.03      0.00      0.00
04:35:49          5     19.77      0.00     10.47     69.77      0.00      0.00
04:35:50          5     21.35      0.00     11.24     67.42      0.00      0.00
04:35:51          5     22.73      0.00      7.95     69.32      0.00      0.00
04:35:52          5     20.00      0.00     10.59     69.41      0.00      0.00
04:35:53          5     20.45      0.00     12.50     67.05      0.00      0.00
04:35:54          5     19.77      0.00     10.47     69.77      0.00      0.00
04:35:55          5     20.69      0.00     10.34     68.97      0.00      0.00
04:35:56          5     22.47      0.00     10.11     67.42      0.00      0.00

Average:          5     20.61      0.00     10.57     68.82      0.00      0.00
