cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
cpu: 0, task: [iperf3], ktime_ns: 0, check time: 5 us → 差值：5 us
