ID,directory,file,function,offset,source start,source end
1,DFR_MAX,kernel-results/DFR_MAX/1.output.txt,cache_check_rcu,0x297 - 0x2a1,net/sunrpc/cache.c:684,net/sunrpc/cache.c:684
1,DFR_MAX,kernel-results/DFR_MAX/2.output.txt,cache_check_rcu,0x2b3 - 0x2bd,net/sunrpc/cache.c:690,net/sunrpc/cache.c:690
2,GSSD_MIN_TIMEOUT,kernel-results/GSSD_MIN_TIMEOUT/1.output.txt,gss_pipe_downcall,0x293 - 0x56c,net/sunrpc/auth_gss/auth_gss.c:193,net/sunrpc/auth_gss/auth_gss.c:246
3,SMC_TX_WORK_DELAY,kernel-results/SMC_TX_WORK_DELAY/1.output.txt,smc_tx_sndbuf_nonempty,0x2bf - 0x2cd,./include/linux/workqueue.h:692,./include/linux/workqueue.h:692
3,SMC_TX_WORK_DELAY,kernel-results/SMC_TX_WORK_DELAY/2.output.txt,smc_tx_consumer_update,0x163 - 0x171,./include/linux/workqueue.h:677,./include/linux/workqueue.h:677
4,SMC_LGR_NUM_INCR,kernel-results/SMC_LGR_NUM_INCR/1.output.txt,smc_conn_create,0x592 - 0x5d4,net/smc/smc_core.c:919,net/smc/smc_core.c:920
5,RDS_IB_RECYCLE_BATCH_COUNT,kernel-results/RDS_IB_RECYCLE_BATCH_COUNT/1.output.txt,rds_ib_recv_cache_put,0x4f - 0x5a,net/rds/ib_recv.c:496,net/rds/ib_recv.c:496
6,QUEUE_THRESHOLD,kernel-results/QUEUE_THRESHOLD/1.output.txt,pie_process_dequeue,0x96 - 0xa7,net/sched/sch_pie.c:240,net/sched/sch_pie.c:240
6,QUEUE_THRESHOLD,kernel-results/QUEUE_THRESHOLD/2.output.txt,pie_process_dequeue,0xb4 - 0xba,net/sched/sch_pie.c:257,net/sched/sch_pie.c:257
6,QUEUE_THRESHOLD,kernel-results/QUEUE_THRESHOLD/3.output.txt,pie_process_dequeue,0xd4 - 0xdb,net/sched/sch_pie.c:279,net/sched/sch_pie.c:279
7,PIE_SCALE,kernel-results/PIE_SCALE/1.output.txt,pie_dump_stats,0x9e - 0x91,net/sched/sch_pie.c:518,net/sched/sch_pie.c:517
7,PIE_SCALE,kernel-results/PIE_SCALE/2.output.txt,pie_calculate_probability,0x38 - 0x1ba,net/sched/sch_pie.c:318,net/sched/sch_pie.c:413
7,PIE_SCALE,kernel-results/PIE_SCALE/3.output.txt,pie_process_dequeue,0xc2 - 0xca,net/sched/sch_pie.c:258,net/sched/sch_pie.c:267
8,BUSY_POLL_BUDGET,kernel-results/BUSY_POLL_BUDGET/1.output.txt,__io_napi_busy_loop,0x104 - 0x2c1,io_uring/napi.c:170,io_uring/napi.c:170
8,BUSY_POLL_BUDGET,kernel-results/BUSY_POLL_BUDGET/2.output.txt,,,io_uring/napi.c:184,io_uring/napi.c:184
8,BUSY_POLL_BUDGET,kernel-results/BUSY_POLL_BUDGET/3.output.txt,io_napi_sqpoll_busy_poll,0xd0 - 0xe1,io_uring/napi.c:170,io_uring/napi.c:170
8,BUSY_POLL_BUDGET,kernel-results/BUSY_POLL_BUDGET/4.output.txt,,,io_uring/napi.c:184,io_uring/napi.c:184
8,BUSY_POLL_BUDGET,kernel-results/BUSY_POLL_BUDGET/5.output.txt,do_epoll_wait,0x2d4 - 0x31f,fs/eventpoll.c:447,fs/eventpoll.c:451
10,MLD_MAX_SKBS,kernel-results/MLD_MAX_SKBS/1.output.txt,igmp6_event_query,0x61 - 0x6a,net/ipv6/mcast.c:1426,net/ipv6/mcast.c:1426
10,MLD_MAX_SKBS,kernel-results/MLD_MAX_SKBS/2.output.txt,igmp6_event_report,0x61 - 0x6a,net/ipv6/mcast.c:1594,net/ipv6/mcast.c:1594
11,TCP_MAX_QUICKACKS,kernel-results/TCP_MAX_QUICKACKS/1.output.txt,tcp_rcv_state_process,0x3ea - 0x3ff,net/ipv4/tcp_input.c:313,net/ipv4/tcp_input.c:315
11,TCP_MAX_QUICKACKS,kernel-results/TCP_MAX_QUICKACKS/2.output.txt,tcp_data_queue,0x7ad - 0x7c2,net/ipv4/tcp_input.c:313,net/ipv4/tcp_input.c:315
11,TCP_MAX_QUICKACKS,kernel-results/TCP_MAX_QUICKACKS/3.output.txt,tcp_event_data_recv,0x252 - 0x243,net/ipv4/tcp_input.c:313,net/ipv4/tcp_input.c:315
11,TCP_MAX_QUICKACKS,kernel-results/TCP_MAX_QUICKACKS/4.output.txt,tcp_event_data_recv,0x252 - 0x243,net/ipv4/tcp_input.c:313,net/ipv4/tcp_input.c:315
11,TCP_MAX_QUICKACKS,kernel-results/TCP_MAX_QUICKACKS/5.output.txt,tcp_send_dupack,0x7d - 0x92,net/ipv4/tcp_input.c:313,net/ipv4/tcp_input.c:315
12,TCP_MAX_WSCALE,kernel-results/TCP_MAX_WSCALE/10.output.txt,,,,
12,TCP_MAX_WSCALE,kernel-results/TCP_MAX_WSCALE/11.output.txt,,,,
12,TCP_MAX_WSCALE,kernel-results/TCP_MAX_WSCALE/12.output.txt,,,net/ipv4/tcp_output.c:216,net/ipv4/tcp_output.c:3926
12,TCP_MAX_WSCALE,kernel-results/TCP_MAX_WSCALE/13.output.txt,,,net/ipv4/tcp_output.c:246,net/ipv4/tcp_output.c:3926
12,TCP_MAX_WSCALE,kernel-results/TCP_MAX_WSCALE/14.output.txt,,,net/ipv4/tcp_output.c:246,net/ipv4/tcp_output.c:3926
12,TCP_MAX_WSCALE,kernel-results/TCP_MAX_WSCALE/15.output.txt,nf_conntrack_tcp_packet,0x1522 - 0x1544,net/netfilter/nf_conntrack_proto_tcp.c:1090,net/netfilter/nf_conntrack_proto_tcp.c:1095
12,TCP_MAX_WSCALE,kernel-results/TCP_MAX_WSCALE/16.output.txt,,,,
12,TCP_MAX_WSCALE,kernel-results/TCP_MAX_WSCALE/1.output.txt,bpf_sk_assign_tcp_reqsk,0xe3 - 0xf1,net/core/filter.c:12018,net/core/filter.c:12018
12,TCP_MAX_WSCALE,kernel-results/TCP_MAX_WSCALE/2.output.txt,bpf_sk_assign_tcp_reqsk,0xe3 - 0xf1,net/core/filter.c:12018,net/core/filter.c:12018
12,TCP_MAX_WSCALE,kernel-results/TCP_MAX_WSCALE/3.output.txt,,,net/ipv4/tcp.c:3482,net/ipv4/tcp.c:3482
12,TCP_MAX_WSCALE,kernel-results/TCP_MAX_WSCALE/4.output.txt,,,net/ipv4/tcp.c:3482,net/ipv4/tcp.c:3482
12,TCP_MAX_WSCALE,kernel-results/TCP_MAX_WSCALE/5.output.txt,,,,
