IO_LOCAL_TW_DEFAULT_MAX,io_uring/io_uring.c
BLK_MQ_CPU_WORK_BATCH,block/blk-mq.c
BLK_MQ_BUDGET_DELAY,block/blk-mq-sched.c
BLK_MQ_RESOURCE_DELAY,block/blk-mq.c
THROTL_GRP_QUANTUM,block/blk-throttle.c
THROTL_QUANTUM,block/blk-throttle.c
MAX_GRO_SKBS,net/core/gro.c
MAX_PER_SOCKET_BUDGET,net/xdp/xsk.c
fits_capacity,kernel/sched/fair.c
capacity_greater,kernel/sched/fair.c
KFREE_DRAIN_JIFFIES, kernel/rcu/tree.c
MAX_SOFTIRQ_TIME,kernel/softirq.c
MAX_SOFTIRQ_RESTART,kernel/softirq.c
SMC_WR_BUF_CNT,net/smc/smc_wr.h
SMC_TX_WORK_DELAY,net/smc/smc_tx.c
