kprobe_loader-481038 [043] b..11 329560.394840: bpf_trace_printk: 329557173565304 → 差值：0 us
iperf3-480923 [018] d.Z11 329560.397577: bpf_trace_printk: cpu: 18, task: [iperf3], ktime_ns: 329557176302300, check time: 3 us → 差值：2737 us
iperf3-480932 [008] d.Z11 329560.397578: bpf_trace_printk: cpu: 8, task: [iperf3], ktime_ns: 329557176302270, check time: 2 us → 差值：2737 us
iperf3-480920 [027] d.Z11 329560.397578: bpf_trace_printk: cpu: 27, task: [iperf3], ktime_ns: 329557176302167, check time: 3 us → 差值：2737 us
iperf3-480972 [020] d.Z11 329560.397578: bpf_trace_printk: cpu: 20, task: [iperf3], ktime_ns: 329557176303113, check time: 1 us → 差值：2738 us
<...>-480881 [028] d.Z11 329560.397578: bpf_trace_printk: cpu: 28, task: [iperf3], ktime_ns: 329557176302240, check time: 3 us → 差值：2737 us
iperf3-480976 [032] d.Z11 329560.397579: bpf_trace_printk: cpu: 32, task: [iperf3], ktime_ns: 329557176304204, check time: 1 us → 差值：2739 us
<...>-480891 [054] d.Z11 329560.397580: bpf_trace_printk: cpu: 54, task: [iperf3], ktime_ns: 329557176304321, check time: 1 us → 差值：2739 us
iperf3-480919 [053] d.Z11 329560.397580: bpf_trace_printk: cpu: 53, task: [iperf3], ktime_ns: 329557176304493, check time: 1 us → 差值：2739 us
iperf3-480944 [029] d.Z11 329560.397580: bpf_trace_printk: cpu: 29, task: [iperf3], ktime_ns: 329557176305122, check time: 1 us → 差值：2740 us
iperf3-480931 [024] d.Z11 329560.397581: bpf_trace_printk: cpu: 24, task: [iperf3], ktime_ns: 329557176305827, check time: 1 us → 差值：2741 us
iperf3-480911 [035] d.Z11 329560.397581: bpf_trace_printk: cpu: 35, task: [iperf3], ktime_ns: 329557176305113, check time: 1 us → 差值：2740 us
iperf3-480922 [023] d.Z11 329560.397581: bpf_trace_printk: cpu: 23, task: [iperf3], ktime_ns: 329557176305736, check time: 1 us → 差值：2740 us
iperf3-480961 [026] d.Z11 329560.397581: bpf_trace_printk: cpu: 26, task: [iperf3], ktime_ns: 329557176306677, check time: 1 us → 差值：2741 us
iperf3-480955 [007] d.Z11 329560.397582: bpf_trace_printk: cpu: 7, task: [iperf3], ktime_ns: 329557176307907, check time: 1 us → 差值：2743 us
<...>-480957 [030] d.Z11 329560.397584: bpf_trace_printk: cpu: 30, task: [iperf3], ktime_ns: 329557176308856, check time: 1 us → 差值：2743 us
iperf3-480933 [019] d.Z11 329560.397585: bpf_trace_printk: cpu: 19, task: [iperf3], ktime_ns: 329557176309995, check time: 1 us → 差值：2745 us
iperf3-480893 [004] d.Z11 329560.397587: bpf_trace_printk: cpu: 4, task: [iperf3], ktime_ns: 329557176312198, check time: 1 us → 差值：2747 us
iperf3-480890 [017] d.Z11 329560.397587: bpf_trace_printk: cpu: 17, task: [iperf3], ktime_ns: 329557176312087, check time: 1 us → 差值：2747 us
iperf3-480953 [055] d.Z11 329560.397587: bpf_trace_printk: cpu: 55, task: [iperf3], ktime_ns: 329557176312564, check time: 1 us → 差值：2747 us
iperf3-480898 [021] d.Z11 329560.397588: bpf_trace_printk: cpu: 21, task: [iperf3], ktime_ns: 329557176313161, check time: 1 us → 差值：2748 us
iperf3-481000 [022] d.Z11 329560.397590: bpf_trace_printk: cpu: 22, task: [iperf3], ktime_ns: 329557176315142, check time: 1 us → 差值：2750 us
iperf3-480970 [044] d.Z11 329560.397590: bpf_trace_printk: cpu: 44, task: [iperf3], ktime_ns: 329557176314755, check time: 1 us → 差值：2750 us
iperf3-480888 [033] d.Z11 329560.397590: bpf_trace_printk: cpu: 33, task: [iperf3], ktime_ns: 329557176315022, check time: 1 us → 差值：2750 us
<...>-480916 [002] d.Z11 329560.397591: bpf_trace_printk: cpu: 2, task: [iperf3], ktime_ns: 329557176316770, check time: 1 us → 差值：2751 us
